# usr,tau,hsb,hlb,hbb,hsbb,hlwebb,tsr,qsr,zo,zot,zoq,Cd,Ch,Ce,L,zeta,dT_skinx,dq_skinx,dz_skin,Urf,Trf,Qrf,RHrf,UrfN,TrfN,QrfN,lw_net,sw_net,Le,rhoa,UN,U10,U10N,Cdn_10,Chn_10,Cen_10,hrain,Qs,Evap,T10,T10N,Q10,Q10N,RH10,P10,rhoa10,gust,wc_frac,Edis
3.812703051261619874e-02,1.778136427491584055e-03,-6.133534205748714108e+00,-4.710014209343049707e-01,-6.189038702327276376e+00,-6.179939604527511676e+00,-3.220599965908483298e-01,1.306192112477237433e-01,4.053069080788638351e-06,4.096309023788186472e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.583453370752458647e-04,2.651455212842687855e-04,2.651456616617277372e-04,8.058800072993538288e-01,1.240879524175288218e+01,-2.383755141740390160e-02,-9.498052719363211244e-03,4.543808891345347233e-03,3.023306231463500193e+00,2.172366143304077823e+01,6.266194596692635344e+00,3.875299044934422454e+01,1.179876110148028623e+00,9.724229859116304553e+00,5.893856372975488256e+00,-3.248750101417353875e+01,2.888443744969394515e+02,2.486325080394312739e+06,1.225878190260514033e+00,1.179876110148028623e+00,3.023306231463499749e+00,1.179876110148028179e+00,1.039672943045879617e-03,1.167950304143027017e-03,1.167950304143027017e-03,-0.000000000000000000e+00,5.781962170780511556e+00,-6.819724133155538560e-04,2.172366143304077823e+01,9.724229859116304553e+00,6.266194596692635344e+00,5.893856372975488256e+00,3.875299044934422454e+01,1.007673483162949992e+03,1.185711560147600707e+00,2.000000000000000111e-01,nan,1.997437943459593726e-04
5.275911582012392242e-02,3.408553491013053497e-03,-9.889630229918429549e+00,-2.534845100035534315e-01,-9.942495108766854273e+00,-9.933828735185144865e+00,-5.008149993563146829e-01,1.521466908460451239e-01,1.575612661833097432e-06,2.925770886653771178e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.988853902569999378e-04,3.577624924371258742e-04,3.577624889275333011e-04,1.328145036893408459e+00,7.529298173180283271e+00,-4.518804022143876192e-02,-1.788717767775768394e-02,3.283075647036936932e-03,3.735722123157029895e+00,1.895702299310355343e+01,5.880907725143435627e+00,4.312308346677311022e+01,1.678231999792385132e+00,1.021924496678217054e+01,5.790420356551962300e+00,-1.477451405902567672e+01,1.584625741924108979e+02,2.486611024084816687e+06,1.226299637591965253e+00,1.678231999792385132e+00,3.735722123157030339e+00,1.678231999792385576e+00,9.854804541125621736e-04,1.137103511453243457e-03,1.137103511453243457e-03,-0.000000000000000000e+00,5.746921937256311175e+00,-3.669831055899260507e-04,1.895702299310355343e+01,1.021924496678217054e+01,5.880907725143435627e+00,5.790420356551962300e+00,4.312308346677311022e+01,1.006855864800309973e+03,1.196250315951029153e+00,2.000000000000000111e-01,nan,5.442108803464456397e-04
5.472881466935403116e-02,3.680223494619556945e-03,-9.214414123424216285e+00,-7.289070239014250330e-01,-9.298458244676757189e+00,-9.284680519881257865e+00,-4.778094991292393678e-01,1.361949077878408521e-01,4.352577795381243254e-06,2.798638065359189165e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.153084987925818288e-04,3.945300369712032582e-04,3.945300370809872391e-04,1.584847954437377471e+00,6.309753545758911564e+00,-2.508445553219596294e-02,-9.881200997707931602e-03,3.159562610469540244e-03,3.724433157611410028e+00,1.642496959832140746e+01,6.043125587759517359e+00,5.196514099116833307e+01,1.746941280246454120e+00,9.675849984260796788e+00,5.827434203641888466e+00,-8.143411714245512911e+00,3.738705181983250014e+01,2.486807510504933540e+06,1.230459661032413887e+00,1.746941280246454120e+00,3.724433157611409584e+00,1.746941280246453676e+00,9.786444263926515237e-04,1.133152748983677714e-03,1.133152748983677714e-03,-0.000000000000000000e+00,5.707271262745148732e+00,-1.055194370678222459e-03,1.642496959832140746e+01,9.675849984260796788e+00,6.043125587759517359e+00,5.827434203641888466e+00,5.196514099116833307e+01,1.006641996520260022e+03,1.206334744915304791e+00,2.000000000000000111e-01,nan,6.116477429830262250e-04
3.694112301603563048e-02,1.694906173651921115e-03,-2.793971841721822447e+00,2.990925720511875552e-01,-2.782508942933058727e+00,-2.784388106668921115e+00,-1.309031776911374345e-01,6.041288014032366455e-02,-2.612467179686383015e-06,4.107952223150201796e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.244737030718534391e-04,4.064105057658824694e-04,4.064105060362540310e-04,1.629845750145137329e+00,6.135549943367035297e+00,3.432598766736279505e-01,1.342587968956918121e-01,2.791674625127808958e-03,2.457501979210450216e+00,1.003656576067308492e+01,5.319292882780771947e+00,6.948436919760686692e+01,1.141639177416781559e+00,7.110108644348516194e+00,5.445843266596269494e+00,-7.629441241044197852e+01,3.364064749212251071e-01,2.487056975492246915e+06,1.246117387376892260e+00,1.141639177416781559e+00,2.457501979210450216e+00,1.141639177416781559e+00,1.040148855779707369e-03,1.168217589557612405e-03,1.168217589557612405e-03,-0.000000000000000000e+00,5.517966443697757128e+00,4.329346975137811620e-04,1.003656576067308492e+01,7.110108644348516194e+00,5.319292882780771947e+00,5.445843266596269494e+00,6.948436919760686692e+01,1.007299156472780055e+03,1.234896021531926236e+00,2.000000000000000111e-01,nan,1.844300198439235094e-04
6.588450471997092661e-02,5.409576670504578216e-03,-5.042727870720362660e+00,3.866287871697748457e+00,-4.790967577073188544e+00,-4.832239756359610894e+00,-1.930540417118436491e-01,6.102009623753953255e-02,-1.889900029888618010e-05,2.260967375144940677e-05,1.600000000000000131e-04,1.600000000000000131e-04,3.936937573495167858e-04,7.077829754251490800e-04,7.077832986607147806e-04,5.372440670239171823e+00,1.861351406893213323e+00,2.127644800873364217e-01,8.318897168817414312e-02,2.260912499717515969e-03,3.314475449205799951e+00,8.410229249252942907e+00,4.687879495585222323e+00,6.837388362841258527e+01,2.137312392295159569e+00,7.256375178764521650e+00,5.045248457085094174e+00,-5.763978581412002455e+01,0.000000000000000000e+00,2.487059328445008490e+06,1.248492461149377064e+00,2.137312392295159569e+00,3.314475449205800395e+00,2.137312392295160013e+00,9.467866676413406752e-04,1.114556425709527362e-03,1.114556425709527362e-03,-0.000000000000000000e+00,5.566998779759895655e+00,5.596423124660352896e-03,8.410229249252942907e+00,7.256375178764521650e+00,4.687879495585222323e+00,5.045248457085094174e+00,6.837388362841258527e+01,1.007593299252170027e+03,1.242868567514372247e+00,2.000000000000000111e-01,4.268229657916934052e-05,1.100383588213925401e-03
9.825874274981417911e-02,1.205380577652507071e-02,-5.093885563203118139e+00,8.844444568140872320e+00,-4.498784929951052725e+00,-4.596342410812046531e+00,-1.520757356208821964e-01,4.127609159736451289e-02,-2.895568735231174231e-05,1.607211338102782416e-05,1.600000000000000131e-04,1.600000000000000131e-04,6.374030029815346519e-04,1.014149015870650710e-03,1.014148865143259422e-03,1.897297441247408045e+01,5.270654870764671651e-01,2.103300615721269973e-01,8.321931946917261735e-02,1.640176588527037134e-03,3.886779955893719940e+00,7.153941117407245365e+00,4.664752812685317274e+00,7.408124350000407787e+01,3.272847159193734701e+00,6.898905551213514009e+00,4.843663407963116896e+00,-7.319117921481337419e+01,0.000000000000000000e+00,2.486620463347102050e+06,1.250132309075821624e+00,3.272847159193734701e+00,3.886779955893719940e+00,3.272847159193734701e+00,8.989645485221895100e-04,1.086043637900755516e-03,1.086043637900755516e-03,0.000000000000000000e+00,5.643051926925937600e+00,1.280452763685901649e-02,7.153941117407245365e+00,6.898905551213514009e+00,4.664752812685317274e+00,4.843663407963116896e+00,7.408124350000407787e+01,1.007063849680690055e+03,1.247800303113776543e+00,2.000000000000000111e-01,1.030748967671595798e-03,3.752733420601114984e-03
1.008767346351001903e-01,1.269955807555885226e-02,-4.198362795332704067e+00,1.096374906399782212e+01,-3.453818483115492555e+00,-3.575874927741264919e+00,-9.614357296510037121e-02,3.314859396608621500e-02,-3.498338193651592950e-05,1.586880021369370668e-05,1.600000000000000131e-04,1.600000000000000131e-04,6.947573034099321096e-04,1.074949732322540022e-03,1.074949671211277704e-03,2.674884994470668786e+01,3.738478484372705912e-01,1.401118839069293021e-01,5.629134001963704420e-02,1.624834375455119382e-03,3.821911527737969827e+00,7.143168564658441078e+00,4.647975977876705578e+00,7.387104936178620562e+01,3.363102765793149374e+00,6.995065638878816827e+00,4.804276459995639570e+00,-4.497350593773050775e+01,0.000000000000000000e+00,2.486027204595209099e+06,1.249684556283551240e+00,3.363102765793149374e+00,3.821911527737970271e+00,3.363102765793149818e+00,8.972513149008350683e-04,1.085008261243359346e-03,1.085008261243359346e-03,0.000000000000000000e+00,5.770073354127378984e+00,1.587653447936376860e-02,7.143168564658441078e+00,6.995065638878816827e+00,4.647975977876705578e+00,4.804276459995639570e+00,7.387104936178620562e+01,1.007077449527169961e+03,1.247877844205270481e+00,2.000000000000000111e-01,1.136838457518301714e-03,4.062993969896433119e-03
1.182606173009338041e-01,1.736668671258051466e-02,1.335144261878077998e+00,1.873450750845049839e+01,2.633412921118649219e+00,2.420581993374293361e+00,2.068007678016685891e-01,-8.994093697947028176e-03,-5.104786829754094499e-05,1.529791487727392724e-05,1.600000000000000131e-04,1.600000000000000131e-04,9.492907231875406544e-04,1.338330562947300743e-03,1.338330562572709976e-03,-5.636305281076217710e+01,-1.774211917437261699e-01,2.049182650910744974e-01,8.722687832672536279e-02,1.387283832316946273e-03,3.814784414718579875e+00,6.721883389111229512e+00,4.820094983401139288e+00,7.878959342296141699e+01,3.934617324505850888e+00,6.704884499444902168e+00,4.723614213905801051e+00,-6.855745984884157451e+01,0.000000000000000000e+00,2.483803975797238294e+06,1.249416422853726560e+00,3.934617324505850888e+00,3.814784414718579875e+00,3.934617324505850888e+00,8.923479626024138347e-04,1.082039490901232776e-03,1.082039490901232776e-03,0.000000000000000000e+00,6.132908262604388483e+00,2.715360297656899471e-02,6.721883389111229512e+00,6.704884499444902168e+00,4.820094983401139288e+00,4.723614213905801051e+00,7.878959342296141699e+01,1.006361507166280035e+03,1.248736978208285109e+00,4.243533921972180711e-01,1.875658691660552716e-03,6.531510037132996251e-03
1.411905736215568197e-01,2.458239789044836671e-02,1.009811601382757473e+01,2.923433319621371496e+01,1.215057601366823725e+01,1.181410716123534144e+01,6.900215674441469993e-01,-5.699145519996307724e-02,-6.680292726671023540e-05,1.665116105138682997e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.015605093542768086e-03,1.426431702044175538e-03,1.426431702045289881e-03,-2.080041362674797156e+01,-4.807596704298540136e-01,2.257995792337108565e-01,1.023150161195099106e-01,1.173962176259323725e-03,4.373756826095299921e+00,6.578787513164828127e+00,4.953281356730268037e+00,8.173041783273360750e+01,4.636519098230339253e+00,6.388338948591445465e+00,4.730045758295270630e+00,-7.607139452530329038e+01,0.000000000000000000e+00,2.481364265703117941e+06,1.249112265190397641e+00,4.636519098230339253e+00,4.373756826095299921e+00,4.636519098230339253e+00,9.037535804200494578e-04,1.088932622289743961e-03,1.088932622289743961e-03,0.000000000000000000e+00,6.574294518805680276e+00,4.241360325891032484e-02,6.578787513164828127e+00,6.388338948591445465e+00,4.953281356730268037e+00,4.730045758295270630e+00,8.173041783273360750e+01,1.005984798655350005e+03,1.248806913918365069e+00,7.062047396687691769e-01,2.920095654441273898e-03,1.096802764430460618e-02
1.597794431829527295e-01,3.173337409917969393e-02,1.735845897776980173e+00,2.392187511646437414e+01,3.394878702609780419e+00,3.122906111653584116e+00,2.717711217939585144e-01,-8.664355622709072127e-03,-4.830113983095896981e-05,1.966774986098408350e-05,1.600000000000000131e-04,1.600000000000000131e-04,9.638639036614382377e-04,1.334326653138280050e-03,1.334326653152831344e-03,-1.077770586566172284e+02,-9.278412423427205569e-02,1.241554136386855134e-01,5.311238862149251366e-02,1.056931705891707603e-03,5.125744205703809619e+00,6.879903153798775151e+00,4.926811500634185492e+00,7.962356383451758290e+01,5.227221747477315716e+00,6.869416991927096205e+00,4.868354346644967023e+00,-4.482294274858463723e+01,0.000000000000000000e+00,2.483627016283205710e+06,1.248045907732615589e+00,5.227221747477315716e+00,5.125744205703810508e+00,5.227221747477316605e+00,9.268036325193569017e-04,1.102731693666890445e-03,1.102731693666890445e-03,0.000000000000000000e+00,6.201818625970182630e+00,3.467459077174561699e-02,6.879903153798775151e+00,6.869416991927096205e+00,4.926811500634185492e+00,4.868354346644967023e+00,7.962356383451758290e+01,1.005908399393650029e+03,1.247389464181672070e+00,4.618861987952980752e-01,3.898953492118622469e-03,1.582220097152695765e-02
1.556538625506624363e-01,3.016764808197768336e-02,-5.895742769899097624e+00,1.745805445406046275e+01,-4.706264643301821593e+00,-4.901261057498095930e+00,-1.233324272094613178e-01,3.025767387885992463e-02,-3.622273642053143444e-05,1.899243823617206611e-05,1.600000000000000131e-04,1.600000000000000131e-04,8.306726004321378929e-04,1.203862385517759197e-03,1.203862382411342380e-03,7.203115103522522134e+01,1.388288241445666260e-01,4.524743787536741196e-02,1.866667234303567499e-02,1.094432163735516031e-03,5.396932113061129854e+00,7.474589397753991449e+00,4.922008258668123304e+00,7.635838710236315308e+01,5.122964781548187574e+00,7.422679827695231047e+00,4.984151392389162716e+00,-1.324366865169851515e+01,0.000000000000000000e+00,2.485049436868836172e+06,1.246004621203659068e+00,5.122964781548187574e+00,5.396932113061129854e+00,5.122964781548187574e+00,9.218941421729859829e-04,1.099807104753107619e-03,1.099807104753107619e-03,0.000000000000000000e+00,5.984163510382611406e+00,2.529084335392838001e-02,7.474589397753991449e+00,7.422679827695231047e+00,4.922008258668123304e+00,4.984151392389162716e+00,7.635838710236315308e+01,1.005737654006430034e+03,1.244538499368348816e+00,2.000000000000000111e-01,3.720092973151286914e-03,1.469211885314685578e-02
1.212168922121911047e-01,1.828459405982028191e-02,-6.266937512665639254e+00,1.014681030848037935e+01,-5.584882589727085289e+00,-5.696694872176028213e+00,-2.044788708561205981e-01,4.131368006088390055e-02,-2.703734282590534451e-05,1.545311193254578482e-05,1.600000000000000131e-04,1.600000000000000131e-04,7.028366700606381370e-04,1.083880548703897162e-03,1.083880540463179592e-03,2.865642102913733069e+01,3.489619303761687941e-01,3.280215810675622679e-02,1.334944176050527689e-02,1.401132900816823290e-03,4.567936609208789633e+00,7.689967815372003024e+00,5.038064090048199439e+00,7.701322319248522774e+01,4.050910568224857400e+00,7.517114082625535154e+00,5.151186562413681003e+00,-1.016682818773114683e+01,0.000000000000000000e+00,2.485578509866364766e+06,1.245589397910148888e+00,4.050910568224857400e+00,4.567936609208789633e+00,4.050910568224857400e+00,8.936948155441013257e-04,1.082855763610988216e-03,1.082855763610988216e-03,0.000000000000000000e+00,5.897614723021920469e+00,1.469618318855407668e-02,7.689967815372003024e+00,7.517114082625535154e+00,5.038064090048199439e+00,5.151186562413681003e+00,7.701322319248522774e+01,1.005745420805999970e+03,1.243505921080892529e+00,2.000000000000000111e-01,2.038950460257870755e-03,7.043320551639499320e-03
1.119673516979946687e-01,1.559335820334193518e-02,-7.465498279110343915e+00,6.573750399789049403e+00,-7.034884974346930164e+00,-7.105477319390113955e+00,-2.951333019305691918e-01,5.330336307993692457e-02,-1.896741627353310637e-05,1.541924696121594861e-05,1.600000000000000131e-04,1.600000000000000131e-04,6.236308359912426120e-04,1.000126483854175095e-03,1.000126455167976063e-03,1.792581803439437849e+01,5.578545972525738028e-01,1.731082249667061090e-02,6.945122496494549220e-03,1.521364534244445650e-03,4.479144881389499844e+00,7.977112831668607740e+00,5.162005416250078582e+00,7.737310814449979546e+01,3.742273152368095879e+00,7.629835244280458895e+00,5.285580331262122122e+00,-7.718838556950691654e+00,0.000000000000000000e+00,2.486132551856894512e+06,1.245057326956009014e+00,3.742273152368095879e+00,4.479144881389499844e+00,3.742273152368095879e+00,8.934018219482033410e-04,1.082678244503451018e-03,1.082678244503451018e-03,-0.000000000000000000e+00,5.809219576796912143e+00,9.519002283914746246e-03,7.977112831668607740e+00,7.629835244280458895e+00,5.162005416250078582e+00,5.285580331262122122e+00,7.737310814449979546e+01,1.005742533353219983e+03,1.242138651830917206e+00,2.000000000000000111e-01,1.614801297164032224e-03,5.549211147066441564e-03
