# usr,tau,hsb,hlb,hbb,hsbb,hlwebb,tsr,qsr,zo,zot,zoq,Cd,Ch,Ce,L,zeta,dT_skinx,dq_skinx,dz_skin,Urf,Trf,Qrf,RHrf,UrfN,TrfN,QrfN,lw_net,sw_net,Le,rhoa,UN,U10,U10N,Cdn_10,Chn_10,Cen_10,hrain,Qs,Evap,T10,T10N,Q10,Q10N,RH10,P10,rhoa10,gust,wc_frac,Edis
3.750070670744064250e-02,1.720196340851617772e-03,-6.193393034964097765e+00,-5.354247240727254553e-01,-6.253638068275026107e+00,-6.243761833306021636e+00,-3.258760321486869338e-01,1.340968068692671711e-01,4.682893420337782279e-06,4.166401314246331346e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.531856977993569164e-04,2.545375052622381282e-04,2.545375872093841915e-04,7.588906041725811402e-01,1.317712980634805220e+01,-3.941760137548895593e-02,-1.563573424140343379e-02,4.619698012502984098e-03,3.023306231463500193e+00,2.261589685302649499e+01,6.333963571263636183e+00,3.709859143976817109e+01,1.158906787368266356e+00,9.498867824448467445e+00,5.875894133471635250e+00,-3.094851090922045600e+01,2.888443744969394515e+02,2.487123649999999907e+06,1.225878190260514033e+00,1.158906787368266356e+00,3.023306231463499749e+00,1.158906787368265912e+00,1.042522615295417201e-03,1.169549844685666010e-03,1.169549844685666010e-03,-0.000000000000000000e+00,5.746612148842369372e+00,-7.750032881002163381e-04,2.261589685302649499e+01,9.498867824448467445e+00,6.333963571263636183e+00,5.875894133471635250e+00,3.709859143976817109e+01,1.007673483162949992e+03,1.182086071006351213e+00,2.000000000000000111e-01,nan,1.898009293276887023e-04
5.187992963826608406e-02,3.295898686203845279e-03,-1.011052900317172920e+01,-5.011034464879272621e-01,-1.018157123596128422e+01,-1.016992496829086434e+01,-5.144447373620987252e-01,1.581810546615808888e-01,3.166299287201848512e-06,2.976989925507429722e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.923121048801152105e-04,3.428952490509923020e-04,3.428952465332574208e-04,1.233187550659508025e+00,8.109066617362465479e+00,-6.000987393565915262e-02,-2.353650023725550183e-02,3.338712475440418128e-03,3.735722123157029895e+00,1.967422943055129991e+01,5.962318014716805337e+00,4.180893346551962253e+01,1.648017995718471074e+00,9.986028133459248224e+00,5.768389955968685534e+00,-1.286273306198861555e+01,1.584625741924108979e+02,2.487593699999999721e+06,1.226299637591965253e+00,1.648017995718471074e+00,3.735722123157030339e+00,1.648017995718471518e+00,9.881704222705919947e-04,1.138654373148478708e-03,1.138654373148478708e-03,-0.000000000000000000e+00,5.680976966135170336e+00,-7.251877215143849890e-04,1.967422943055129991e+01,9.986028133459248224e+00,5.962318014716805337e+00,5.768389955968685534e+00,4.180893346551962253e+01,1.006855864800309973e+03,1.193261426700789274e+00,2.000000000000000111e-01,nan,5.167505073903253497e-04
5.309231546566010873e-02,3.463422242002729776e-03,-9.589228146304051847e+00,-1.296882310792328630e+00,-9.714341916329377824e+00,-9.693831462226865980e+00,-5.025811719918966691e-01,1.461036852570806177e-01,7.978046828942755858e-06,2.887711385206600409e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.026247168685968631e-04,3.662574795402403485e-04,3.662574795640748527e-04,1.384924323181590644e+00,7.220611142872392918e+00,-4.718248223746113190e-02,-1.816906207557074035e-02,3.256951877648870796e-03,3.724433157611410028e+00,1.743344686206481597e+01,6.221477446636754394e+00,5.017939345777266169e+01,1.690551643348270350e+00,9.336443790052756597e+00,5.779337540521860994e+00,-5.218994110699997080e+00,3.738705181983250014e+01,2.488312600000000093e+06,1.230459661032413887e+00,1.690551643348270350e+00,3.724433157611409584e+00,1.690551643348269906e+00,9.834581989869174267e-04,1.135936215701280338e-03,1.135936215701280338e-03,-0.000000000000000000e+00,5.559085171710961504e+00,-1.876282071172401473e-03,1.743344686206481597e+01,9.336443790052756597e+00,6.221477446636754394e+00,5.779337540521860994e+00,5.017939345777266169e+01,1.006641996520260022e+03,1.202017980679482401e+00,2.000000000000000111e-01,nan,5.570353547499283216e-04
3.380241566492889899e-02,1.419125976156843105e-03,-3.102016559262668061e+00,-3.431275193101790411e-01,-3.136009116728862178e+00,-3.130436566324568126e+00,-1.512889912867584896e-01,7.330168937081131542e-02,3.272948265323645037e-06,4.498201945316628183e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.879493201131064587e-04,3.262587691043328524e-04,3.262587690419200496e-04,1.107891247859698058e+00,9.026156691208365501e+00,4.131401837533187349e-01,1.565361432606057757e-01,3.604203704228925876e-03,2.457501979210450216e+00,1.155473206672493269e+01,5.595138110150633004e+00,6.605439183620778465e+01,1.036995743411678550e+00,6.612920915726395954e+00,5.374484365700122446e+00,-7.225064297401156921e+01,3.364064749212251071e-01,2.488912999999999534e+06,1.246117387376892260e+00,1.036995743411678550e+00,2.457501979210450216e+00,1.036995743411678550e+00,1.055539680275864372e-03,1.176828765056525498e-03,1.176828765056525498e-03,-0.000000000000000000e+00,5.284127086004450469e+00,-4.963046396224555156e-04,1.155473206672493269e+01,6.612920915726395954e+00,5.595138110150633004e+00,5.374484365700122446e+00,6.605439183620778465e+01,1.007299156472780055e+03,1.228105284304224831e+00,2.000000000000000111e-01,nan,1.402668392392585203e-04
5.388863458565794351e-02,3.619020713902737843e-03,-5.900268918248642969e+00,9.066615747567907668e-01,-5.855794849242118794e+00,-5.863085680226795660e+00,-2.552701226628284470e-01,8.729015565018734268e-02,-5.412518645227645224e-06,2.776782558374693533e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.633821368223999201e-04,4.919816982000437379e-04,4.919817780992107731e-04,2.404855001755337174e+00,4.158254860563676658e+00,2.294600965988781438e-01,8.495990784189945411e-02,2.922629437080632477e-03,3.314475449205799951e+00,9.928460501993086496e+00,4.873119167227592641e+00,6.415464690883622723e+01,1.720527854999958306e+00,6.812784919193024535e+00,5.066309934946765736e+00,-5.210052253750477291e+01,0.000000000000000000e+00,2.489789899999999907e+06,1.248492461149377064e+00,1.720527854999958306e+00,3.314475449205800395e+00,1.720527854999958750e+00,9.774454142719843017e-04,1.132458380196698375e-03,1.132458380196698375e-03,-0.000000000000000000e+00,5.215734960944270249e+00,1.310946626108671536e-03,9.928460501993086496e+00,6.812784919193024535e+00,4.873119167227592641e+00,5.066309934946765736e+00,6.415464690883622723e+01,1.007593299252170027e+03,1.236063668929048731e+00,2.000000000000000111e-01,nan,5.926053898278566901e-04
8.120091488180285200e-02,8.231967144649673940e-03,-7.311554699289656511e+00,4.286628745363922910e+00,-7.037922960617055246e+00,-7.082780622694530237e+00,-2.846674012878661619e-01,7.169178560158175062e-02,-1.696740576866794914e-05,1.847385409700558797e-05,1.600000000000000131e-04,1.600000000000000131e-04,4.353048884082555089e-04,7.694779843116342265e-04,7.694792649001864181e-04,6.842874356276946735e+00,1.461374194431471985e+00,2.226785867943290032e-01,8.473633826524649970e-02,2.030227789921465378e-03,3.886779955893719940e+00,7.928966154683685374e+00,4.651925337462495591e+00,7.006965455973079315e+01,2.676442296797667098e+00,6.822271982733399298e+00,4.913848358624995249e+00,-6.883386661707920950e+01,0.000000000000000000e+00,2.488762899999999907e+06,1.250132309075821624e+00,2.676442296797667098e+00,3.886779955893719940e+00,2.676442296797667098e+00,9.180317128733605277e-04,1.097500773860098132e-03,1.097500773860098132e-03,-0.000000000000000000e+00,5.382272225717240843e+00,6.200616170913718014e-03,7.928966154683685374e+00,6.822271982733399298e+00,4.651925337462495591e+00,4.913848358624995249e+00,7.006965455973079315e+01,1.007063849680690055e+03,1.244369548352022292e+00,2.000000000000000111e-01,4.174003803297342404e-04,2.095845739681476486e-03
8.935395542160433358e-02,9.964009690478654521e-03,-6.027522298481957641e+00,7.872911447415103403e+00,-5.502198631294271003e+00,-5.588317265259465039e+00,-1.999083040835317737e-01,5.372806583093137772e-02,-2.834518648982843264e-05,1.710399178394316145e-05,1.600000000000000131e-04,1.600000000000000131e-04,5.451031022119051878e-04,9.087749420172853542e-04,9.087745973035571976e-04,1.166481793994026006e+01,8.572787034900961611e-01,1.374923238156574856e-01,5.424128463054112698e-02,1.870395732039839727e-03,3.821911527737969827e+00,7.514961821856986468e+00,4.584001411699341055e+00,7.102748611184098593e+01,2.962226509271267183e+00,6.995693489032196233e+00,4.857950557356234711e+00,-4.226046264847659728e+01,0.000000000000000000e+00,2.487378424999999814e+06,1.249684556283551240e+00,2.962226509271267183e+00,3.821911527737970271e+00,2.962226509271267627e+00,9.074096306382427703e-04,1.091132986513028685e-03,1.091132986513028685e-03,0.000000000000000000e+00,5.640484872603809485e+00,1.139451919572486219e-02,7.514961821856986468e+00,6.995693489032196233e+00,4.584001411699341055e+00,4.857950557356234711e+00,7.102748611184098593e+01,1.007077449527169961e+03,1.246273353077906654e+00,2.000000000000000111e-01,6.908908231766825196e-04,2.807823706852137675e-03
1.149063446808595845e-01,1.646999386182382633e-02,-8.347120325391678142e-01,1.721521813882643315e+01,3.516457207959493014e-01,1.571608432000286271e-01,9.976925671286350494e-02,5.787113768434262381e-03,-4.826149344551003596e-05,1.532270268683310482e-05,1.600000000000000131e-04,1.600000000000000131e-04,9.043664364884882378e-04,1.280301308440930531e-03,1.280301342982003224e-03,-3.838371753540944837e+02,-2.605271360382140772e-02,2.022027276472567747e-01,8.571375149139533189e-02,1.456777219364996682e-03,3.814784414718579875e+00,6.767477755342057755e+00,4.779660399206452581e+00,7.788610625431644507e+01,3.839923621680643606e+00,6.769962922370741154e+00,4.758935409675400408e+00,-6.690033804139922324e+01,0.000000000000000000e+00,2.484623299999999814e+06,1.249416422853726560e+00,3.839923621680643606e+00,3.814784414718579875e+00,3.839923621680643606e+00,8.925637889325631303e-04,1.082170335876031118e-03,1.082170335876031118e-03,0.000000000000000000e+00,6.091305157681274451e+00,2.494333257672306375e-02,6.767477755342057755e+00,6.769962922370741154e+00,4.779660399206452581e+00,4.758935409675400408e+00,7.788610625431644507e+01,1.006361507166280035e+03,1.248564290592613757e+00,2.170440781249831919e-01,1.745768154785517926e-03,6.017850858932043481e-03
1.407929697316014916e-01,2.445843782422063920e-02,9.197328208932837867e+00,3.030963396929917764e+01,1.132112957505949780e+01,1.097296541667807901e+01,6.583999089056493670e-01,-5.205420381038772248e-02,-6.944875577767979549e-05,1.661565650450787056e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.011074782372269878e-03,1.419726189790310048e-03,1.419726189790826128e-03,-2.213500723534908943e+01,-4.517730621759288856e-01,2.289345122028083601e-01,1.048410962888857018e-01,1.193889934157250097e-03,4.373756826095299921e+00,6.585753524812711035e+00,4.944809656697085387e+00,8.155194575773683141e+01,4.626908622148498296e+00,6.417221595412357260e+00,4.719960711772283268e+00,-7.554611213941828396e+01,0.000000000000000000e+00,2.481611425000000279e+06,1.249112265190397641e+00,4.626908622148498296e+00,4.373756826095299921e+00,4.626908622148498296e+00,9.034636836127362628e-04,1.088757959961164038e-03,1.088757959961164038e-03,0.000000000000000000e+00,6.637253665875673114e+00,4.396928592052925383e-02,6.585753524812711035e+00,6.417221595412357260e+00,4.944809656697085387e+00,4.719960711772283268e+00,8.155194575773683141e+01,1.005984798655350005e+03,1.248782251035888580e+00,6.897713659723510027e-01,2.904886454550453020e-03,1.088373452030946126e-02
1.568025564417812323e-01,3.064193071006994507e-02,-8.583231886833614377e-01,2.272524324030164777e+01,7.094888726587267325e-01,4.524705019469088541e-01,1.458122540771519260e-01,4.365597699964439415e-03,-4.674227629034469569e-05,1.916118369307503151e-05,1.600000000000000131e-04,1.600000000000000131e-04,9.331489987304325204e-04,1.299445315224235153e-03,1.299445314834353667e-03,-4.848293442319679230e+02,-2.062581425602711196e-02,1.180054610240876684e-01,5.038392657709654665e-02,1.085651930938559507e-03,5.125744205703809619e+00,6.923395194389069474e+00,4.902658775650427181e+00,7.899818862277723497e+01,5.153475273501459952e+00,6.924915958393552451e+00,4.886376017559702412e+00,-4.335036976004113995e+01,0.000000000000000000e+00,2.484362600000000093e+06,1.248045907732615589e+00,5.153475273501459952e+00,5.125744205703810508e+00,5.153475273501460840e+00,9.231333904112981516e-04,1.100546059603909905e-03,1.100546059603909905e-03,0.000000000000000000e+00,6.176804276317632514e+00,3.293032815140829739e-02,6.923395194389069474e+00,6.924915958393552451e+00,4.902658775650427181e+00,4.886376017559702412e+00,7.899818862277723497e+01,1.005908399393650029e+03,1.247214086816618828e+00,2.742428966877918373e-01,3.772174240784000477e-03,1.502313743994931720e-02
