# usr,tau,hsb,hlb,hbb,hsbb,hlwebb,tsr,qsr,zo,zot,zoq,Cd,Ch,Ce,L,zeta,dT_skinx,dq_skinx,dz_skin,Urf,Trf,Qrf,RHrf,UrfN,TrfN,QrfN,lw_net,sw_net,Le,rhoa,UN,U10,U10N,Cdn_10,Chn_10,Cen_10,hrain,Qs,Evap,T10,T10N,Q10,Q10N,RH10,P10,rhoa10,gust,wc_frac,Edis
1.363188754256179080e-01,2.283527926367794059e-02,-1.616196645338507665e+01,-5.472233791464860886e+00,-1.662822021349200341e+01,-1.655178517085152379e+01,-1.184218125280743772e+00,9.597318894909559472e-02,1.318465577152395586e-05,1.673210618843280786e-05,1.600000000000000131e-04,1.600000000000000131e-04,5.783736932710580470e-04,9.477864962234483406e-04,9.477864742060525130e-04,1.378815296004096425e+01,7.252603034634662604e-01,6.508826690831696904e-02,3.342380749898171688e-02,1.249694702027354413e-03,5.664756159056310025e+00,1.377358310785349715e+01,8.141727665118381196e+00,8.349208663585336865e+01,4.530041240927153545e+00,1.297677840654734283e+01,8.032263805274922674e+00,-6.871674540379233065e+01,4.278127135135027288e+02,2.476138921491500456e+06,1.229602808792347846e+00,4.530041240927153545e+00,5.664756159056310914e+00,4.530041240927154433e+00,9.044127168270480778e-04,1.089329646616353552e-03,1.089329646616353552e-03,-0.000000000000000000e+00,7.668270986874990314e+00,-7.955951694910231090e-03,1.377358310785349715e+01,1.297677840654734283e+01,8.141727665118381196e+00,8.032263805274922674e+00,8.349208663585336865e+01,1.013564943860150038e+03,1.224293213034998162e+00,2.000000000000000111e-01,2.752931015685110890e-03,9.833374898721707058e-03
1.467269491849612639e-01,2.644844284527335387e-02,-1.809790864838374702e+01,-5.924044770084956113e+00,-1.860572661990626386e+01,-1.852247777211568902e+01,-1.323257525901227138e+00,9.987812975067054955e-02,1.326505976343992361e-05,1.792336699825271496e-05,1.600000000000000131e-04,1.600000000000000131e-04,6.052684557251045237e-04,9.764861470352164015e-04,9.764859562076276447e-04,1.536584338435570452e+01,6.507940859387656429e-01,6.426706519971062126e-02,3.300522667913308866e-02,1.164064070105939094e-03,5.960621315679359711e+00,1.383713676955814265e+01,8.135393790235069034e+00,8.308101571533698859e+01,4.850993991807847294e+00,1.308646747746060512e+01,8.035695557527761324e+00,-6.821789053662637059e+01,3.223864891435288200e+02,2.476136402588619385e+06,1.229205991617346339e+00,4.850993991807847294e+00,5.960621315679359711e+00,4.850993991807847294e+00,9.138388775399761653e-04,1.094991652364129099e-03,1.094991652364129099e-03,-0.000000000000000000e+00,7.669482924149263248e+00,-8.612837786323273778e-03,1.383713676955814265e+01,1.308646747746060512e+01,8.135393790235069034e+00,8.035695557527761324e+00,8.308101571533698859e+01,1.013532490661769998e+03,1.223987615121174821e+00,2.000000000000000111e-01,3.265634474157742047e-03,1.219547683735591227e-02
1.492996951869968170e-01,2.738923118326457712e-02,-1.870069919873586883e+01,-8.149290335062687518e+00,-1.937038440726944799e+01,-1.926059994685410359e+01,-1.412678439025732091e+00,1.014088731789639514e-01,1.793028667836919058e-05,1.829152397536986578e-05,1.600000000000000131e-04,1.600000000000000131e-04,6.092415488184799773e-04,9.804280648276692597e-04,9.804277410442163027e-04,1.555443320438269872e+01,6.429035290840651173e-01,6.750589289102774948e-02,3.465827930390222300e-02,1.144082365754908607e-03,6.045422131182229819e+00,1.388024044589162287e+01,8.293871816733730640e+00,8.448504954342467954e+01,4.928544879462579686e+00,1.312659765933663891e+01,8.160618869605835712e+00,-6.817398460965077334e+01,1.757056210476908120e+02,2.476133774168221280e+06,1.229417900963414523e+00,4.928544879462579686e+00,6.045422131182229819e+00,4.928544879462579686e+00,9.166538047882768396e-04,1.096676824619129261e-03,1.096676824619129261e-03,-0.000000000000000000e+00,7.665611756519767006e+00,-1.184808571826078370e-02,1.388024044589162287e+01,1.312659765933663891e+01,8.293871816733730640e+00,8.160618869605835712e+00,8.448504954342467954e+01,1.013899580708649978e+03,1.224129307615082540e+00,2.000000000000000111e-01,3.393399989061669439e-03,1.283097608161664661e-02
4.375294281835100108e-02,2.355926955842688360e-03,-3.522931391538074219e+00,8.454827320743862895e-01,-3.478946529800116760e+00,-3.486157162871913240e+00,-2.132786469001901608e-01,6.494740651450342517e-02,-6.324295608069100003e-06,3.556266591193209850e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.559370409184280690e-04,4.727040528251148397e-04,4.727040534693956382e-04,2.182969281415883422e+00,4.580916499894105876e+00,2.683025734296873299e-01,1.375794666574414460e-01,2.617901222984500825e-03,2.727572550942439999e+00,1.441861061876929284e+01,7.135381117009298890e+00,7.033255208531134883e+01,1.368723873188042672e+00,1.192030675855385269e+01,7.378655067097733777e+00,-7.001917353131830168e+01,8.410954925585259900e+01,2.476131145747823175e+06,1.233990081218508950e+00,1.368723873188042672e+00,2.727572550942439999e+00,1.368723873188042672e+00,1.016375253574279330e-03,1.154790053128804898e-03,1.154790053128804898e-03,-0.000000000000000000e+00,7.553251822017371886e+00,1.229231271007070418e-03,1.441861061876929284e+01,1.192030675855385269e+01,7.135381117009298890e+00,7.378655067097733777e+00,7.033255208531134883e+01,1.015219214150630023e+03,1.224288737666469284e+00,2.000000000000000111e-01,nan,3.071607039921928355e-04
3.002897001442956376e-02,1.108649370043798084e-03,-1.923520141778611636e+00,2.373814249882776339e-01,-1.915460803522734956e+00,-1.916782006515501680e+00,-1.204726364989825438e-01,5.162352173485747209e-02,-2.584924573268164814e-06,5.219533529688327321e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.037888584206341304e-04,3.577837670826187512e-04,3.577837671237092004e-04,1.282058359687686222e+00,7.799956939897832342e+00,3.234846277543986792e-01,1.658472510317771653e-01,2.729782758227159486e-03,2.094007924114619890e+00,1.455476416650960481e+01,7.299336197055675157e+00,7.132801593543189256e+01,9.089770435096222734e-01,1.149839719649011727e+01,7.452376474437485854e+00,-7.278731922919239139e+01,0.000000000000000000e+00,2.476128517327425536e+06,1.235051988480302176e+00,9.089770435096222734e-01,2.094007924114619890e+00,9.089770435096222734e-01,1.081511764164393499e-03,1.191219014512259538e-03,1.191219014512259538e-03,-0.000000000000000000e+00,7.523739274461304305e+00,3.451247073718818653e-04,1.455476416650960481e+01,1.149839719649011727e+01,7.299336197055675157e+00,7.452376474437485854e+00,7.132801593543189256e+01,1.015458797117740005e+03,1.223876287040893907e+00,2.000000000000000111e-01,1.000000000000000082e-05,9.617066789733748897e-05
2.606895607527749681e-02,8.352909205412082901e-04,-1.489628926053934155e+00,-2.454178507202646464e-02,-1.498204060812167393e+00,-1.496798301015735522e+00,-9.720781423667106125e-02,4.601664498295363059e-02,3.076052307779920803e-07,6.019387818817324774e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.887240163843254329e-04,3.231090565760267133e-04,3.231090562232333979e-04,1.072834499118601403e+00,9.321102190706588075e+00,3.311543774181643363e-01,1.697151970014718070e-01,2.756248093069216601e-03,1.887054591567260076e+00,1.453243195731992365e+01,7.546881530175300945e+00,7.387506025117031072e+01,7.790431155880339631e-01,1.133704573069161903e+01,7.525521487129335441e+00,-7.360224832291160624e+01,0.000000000000000000e+00,2.476125888907027431e+06,1.235993170000611707e+00,7.790431155880339631e-01,1.887054591567260076e+00,7.790431155880339631e-01,1.107319915657479148e-03,1.205348269387070126e-03,1.205348269387070126e-03,-0.000000000000000000e+00,7.517029335815513136e+00,-3.568091051230578740e-05,1.453243195731992365e+01,1.133704573069161903e+01,7.546881530175300945e+00,7.525521487129335441e+00,7.387506025117031072e+01,1.015909531641549961e+03,1.224330520717717530e+00,2.000000000000000111e-01,1.000000000000000082e-05,6.216535969126399548e-05
4.120138826456676978e-02,2.094621591807604728e-03,-2.631698681323023870e+00,1.533913660345003205e-01,-2.632892643038699632e+00,-2.632696911609900603e+00,-1.684901907700356027e-01,5.136068912473434195e-02,-1.214637733690896146e-06,3.770158317983751407e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.704341537684922490e-04,4.988894474447793347e-04,4.988897085296164612e-04,2.411694469590698997e+00,4.146462218200115402e+00,3.086998912492249225e-01,1.581169170202106067e-01,2.586318779788781066e-03,2.497427675720250040e+00,1.333736536743953316e+01,7.447508662226995924e+00,7.883716818508216306e+01,1.282242817290024428e+00,1.150814394843840383e+01,7.490768232856946263e+00,-7.409358370381310976e+01,0.000000000000000000e+00,2.476123260486629326e+06,1.237855745638454907e+00,1.282242817290024428e+00,2.497427675720250040e+00,1.282242817290024428e+00,1.025904250377832625e-03,1.160190774461286947e-03,1.160190774461286947e-03,-0.000000000000000000e+00,7.524301086708167219e+00,2.230135012001285605e-04,1.333736536743953316e+01,1.150814394843840383e+01,7.447508662226995924e+00,7.490768232856946263e+00,7.883716818508216306e+01,1.016557021645049986e+03,1.230295388903618559e+00,2.000000000000000111e-01,nan,2.559691441818703699e-04
4.116814310730893683e-02,2.094283652320639080e-03,-2.086391763380103015e+00,1.239797849401371943e+00,-2.008249626279353439e+00,-2.021059812689312452e+00,-1.161129048878456055e-01,4.067215936960204975e-02,-9.806270865634249070e-06,3.762596015149382043e-05,1.600000000000000131e-04,1.600000000000000131e-04,3.112372881380185601e-04,5.705931257286389700e-04,5.705936098196333654e-04,3.155397487277542101e+00,3.169172834902628910e+00,3.214281691563767307e-01,1.646126961564285951e-01,2.559378676003987770e-03,2.324954706652139880e+00,1.237829443212243952e+01,6.962299129524991415e+00,7.851558267745157593e+01,1.280786414514878402e+00,1.120144351451137510e+01,7.246044055917799653e+00,-7.619960788111909267e+01,0.000000000000000000e+00,2.476120632066231221e+06,1.240263366564498648e+00,1.280786414514878402e+00,2.324954706652139880e+00,1.280786414514878402e+00,1.025574446374184594e-03,1.160004272495196399e-03,1.160004272495196399e-03,-0.000000000000000000e+00,7.516768587697590931e+00,1.802526177458689711e-03,1.237829443212243952e+01,1.120144351451137510e+01,6.962299129524991415e+00,7.246044055917799653e+00,7.851558267745157593e+01,1.016769558767089961e+03,1.235049708909069732e+00,2.000000000000000111e-01,nan,2.557624543765542129e-04
3.158472339741316692e-02,1.231216108248910307e-03,-1.382972601615058528e+00,1.643318892952400301e+00,-1.273121562689389696e+00,-1.291129929726384296e+00,-6.496244632322308032e-02,3.512353731775122445e-02,-1.693396336372835788e-05,4.930418662654965077e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.667075428789011547e-04,4.863850457254092845e-04,4.863850553830994052e-04,2.248035215055115721e+00,4.448328893172977416e+00,3.461951852970900911e-01,1.773194600682199140e-01,2.653711755967127009e-03,1.923644189834089913e+00,1.234530681944647412e+01,6.400873688797588557e+00,7.236089171991555702e+01,9.597468346190538568e-01,1.102460270732927405e+01,7.037619209232827799e+00,-7.801383347232466292e+01,0.000000000000000000e+00,2.476118003645833116e+06,1.240837233090372305e+00,9.597468346190538568e-01,1.923644189834089691e+00,9.597468346190536348e-01,1.071448772654447169e-03,1.185664178365315475e-03,1.185664178365315475e-03,0.000000000000000000e+00,7.505120287903868537e+00,2.389202778671293669e-03,1.234530681944647412e+01,1.102460270732927405e+01,6.400873688797588557e+00,7.037619209232827799e+00,7.236089171991555702e+01,1.016704779514730035e+03,1.235535056469061477e+00,2.000000000000000111e-01,1.000000000000000082e-05,1.128623960899634992e-04
8.634450756263055762e-03,9.038859146481491270e-05,-2.027702761599975423e-01,2.717449329119885904e-01,-1.844593175190211154e-01,-1.874611140175418689e-01,-8.922377864879021264e-03,1.884148721529040407e-02,-1.024530518028647049e-05,1.817472436192553095e-04,1.600000000000000131e-04,1.600000000000000131e-04,8.377838100214144031e-05,1.251869139111151110e-04,1.251869425150941054e-04,3.171540624100230299e-01,3.153041750123258069e+01,3.641646526838816511e-01,1.864742631153160635e-01,2.760250352215785300e-03,9.218960593194459596e-01,1.582746965610603773e+01,4.345954322130118896e+00,3.926323145900411049e+01,2.302664871021982140e-01,1.055823891232304490e+01,7.211167477469277998e+00,-7.909007307120835151e+01,0.000000000000000000e+00,2.476115375225435011e+06,1.240597670920326356e+00,2.302664871021982140e-01,9.218960593194459596e-01,2.302664871021982140e-01,1.342871353982766748e-03,1.327373667937361201e-03,1.327373667937361201e-03,0.000000000000000000e+00,7.494012655182126892e+00,3.950873082374412341e-04,1.582746965610603773e+01,1.055823891232304490e+01,4.345954322130118896e+00,7.211167477469277998e+00,3.926323145900411049e+01,1.017038651714220009e+03,1.222574823579671399e+00,2.000000000000000111e-01,1.000000000000000082e-05,2.023274165817531166e-06
