month_nu,day_nu,begin_yr,max_va
12,1,2012,5490
12,2,2012,8170
12,3,2012,8040
12,4,2012,10100
12,5,2012,9130
12,6,2012,6210
12,7,2012,4690
12,8,2012,3890
12,9,2012,3270
12,10,2012,2790
12,11,2012,2520
12,12,2012,2630
12,13,2012,2480
12,14,2012,2310
12,15,2012,2230
12,16,2012,3240
12,17,2012,7280
12,18,2012,5970
12,19,2012,4900
12,20,2012,10200
12,21,2012,8800
12,22,2012,7280
12,23,2012,6980
12,24,2012,6460
12,25,2012,5730
12,26,2012,6050
12,27,2012,5670
12,28,2012,4730
12,29,2012,3890
12,30,2012,3270
12,31,2012,2800
1,1,2013,2420
1,2,2013,2120
1,3,2013,1890
1,4,2013,1740
1,5,2013,1600
1,6,2013,1480
1,7,2013,1530
1,8,2013,1700
1,9,2013,2100
1,10,2013,2510
1,11,2013,2580
1,12,2013,2280
1,13,2013,1970
1,14,2013,1730
1,15,2013,1570
1,16,2013,1440
1,17,2013,1340
1,18,2013,1270
1,19,2013,1190
1,20,2013,1110
1,21,2013,1040
1,22,2013,981
1,23,2013,969
1,24,2013,966
1,25,2013,957
1,26,2013,1120
1,27,2013,1400
1,28,2013,2070
1,29,2013,2480
1,30,2013,2440
1,31,2013,2190
2,1,2013,1940
2,2,2013,1720
2,3,2013,1550
2,4,2013,1420
2,5,2013,1370
2,6,2013,1480
2,7,2013,1700
2,8,2013,1680
2,9,2013,1540
2,10,2013,1430
2,11,2013,1330
2,12,2013,1260
2,13,2013,1180
2,14,2013,1110
2,15,2013,1050
2,16,2013,1010
2,17,2013,971
2,18,2013,926
2,19,2013,969
2,20,2013,915
2,21,2013,956
2,22,2013,1220
2,23,2013,2280
2,24,2013,2000
2,25,2013,1970
2,26,2013,1940
2,27,2013,1770
2,28,2013,1750
3,1,2013,1790
3,2,2013,1690
3,3,2013,1570
3,4,2013,1440
3,5,2013,1400
3,6,2013,1600
3,7,2013,1830
3,8,2013,1710
3,9,2013,1540
3,10,2013,1390
3,11,2013,1280
3,12,2013,1200
3,13,2013,1120
3,14,2013,1050
3,15,2013,990
3,16,2013,969
3,17,2013,1040
3,18,2013,930
3,19,2013,889
3,20,2013,1960
3,21,2013,2480
3,22,2013,2070
3,23,2013,1830
3,24,2013,1640
3,25,2013,1480
3,26,2013,1360
3,27,2013,1270
3,28,2013,1180
3,29,2013,1110
3,30,2013,1030
3,31,2013,966
4,1,2013,914
4,2,2013,868
4,3,2013,825
4,4,2013,848
4,5,2013,1010
4,6,2013,2050
4,7,2013,3770
4,8,2013,3910
4,9,2013,2870
4,10,2013,2330
4,11,2013,1980
4,12,2013,1730
4,13,2013,1590
4,14,2013,1490
4,15,2013,1420
4,16,2013,1330
4,17,2013,1270
4,18,2013,1180
4,19,2013,1190
4,20,2013,1150
4,21,2013,1090
4,22,2013,1030
4,23,2013,960
4,24,2013,904
4,25,2013,852
4,26,2013,806
4,27,2013,762
4,28,2013,728
4,29,2013,714
4,30,2013,681
5,1,2013,647
5,2,2013,620
5,3,2013,595
5,4,2013,571
5,5,2013,546
5,6,2013,523
5,7,2013,510
5,8,2013,492
5,9,2013,479
5,10,2013,462
5,11,2013,448
5,12,2013,436
5,13,2013,428
5,14,2013,424
5,15,2013,410
5,16,2013,421
5,17,2013,418
5,18,2013,403
5,19,2013,402
5,20,2013,376
5,21,2013,452
5,22,2013,854
5,23,2013,842
5,24,2013,817
5,25,2013,757
