DN,C,S,T
735215.71875,,,
735215.7222222222,,,
735215.7256944445,,,
735215.7291666666,,,
735215.7326388889,,,
735215.7361111111,,,
735215.7395833334,,,
735215.7430555555,,,
735215.7465277778,,,
735215.75,,,
735215.7534722222,,,
735215.7569444445,,,
735215.7604166666,,,
735215.7638888889,,,
735215.7673611111,,,
735215.7708333334,,,
735215.7743055555,,,
735215.7777777778,,,
735215.78125,,,
735215.7847222222,,,
735215.7881944445,,,
735215.7916666666,,,
735215.7951388889,,,
735215.7986111111,,,
735215.8020833334,,,
735215.8055555555,,,
735215.8090277778,,,
735215.8125,,,
735215.8159722222,,,
735215.8194444445,,,
735215.8229166666,,,
735215.8263888889,,,
735215.8298611111,,,
735215.8333333334,,,
735215.8368055555,,,
735215.8402777778,,,
735215.84375,,,
735215.8472222222,,,
735215.8506944445,,,
735215.8541666666,,,
735215.8576388889,,,
735215.8611111111,,,
735215.8645833334,,,
735215.8680555555,,,
735215.8715277778,,,
735215.875,,,
735215.8784722222,,,
735215.8819444445,,,
735215.8854166666,,,
735215.8888888889,,,
735215.8923611111,,,
735215.8958333334,,,
735215.8993055555,,,
735215.9027777778,,,
735215.90625,,,
735215.9097222222,,,
735215.9131944445,25.12919771971535,21.74526308443763,10.59
735215.9166666666,25.643816378636387,22.22844850097468,10.6
735215.9201388889,23.63486271993409,20.420888172526357,10.43
735215.9236111111,24.001017378729475,20.75072151447885,10.46
735215.9270833334,22.891660583641006,19.76208599880423,10.35
735215.9305555555,23.287325530656016,20.11427353650735,10.39
735215.9340277778,23.29208658742524,20.118776710937336,10.39
735215.9375,23.129106792868285,19.953751039033733,10.41
735215.9409722222,23.036302438695703,19.893356269759057,10.36
735215.9444444445,20.746652679965887,17.81022416152692,10.22
735215.9479166666,20.615770142268545,17.692439102670317,10.21
735215.9513888889,19.690203167465278,16.855225091530492,10.15
735215.9548611111,17.97442484417032,15.307548681858451,10.04
735215.9583333334,18.86962387604572,16.126367827020147,10.07
735215.9618055555,19.346962648278947,16.585217833062007,10.04
735215.9652777778,16.28773513285381,13.8051799217535,9.9
735215.96875,16.768081750609678,14.240351932353233,9.92
735215.9722222222,15.167453778961972,12.805566289910347,9.82
735215.9756944445,15.63090912285119,13.234470487579449,9.81
735215.9791666666,15.131969145451448,12.780127918719593,9.8
735215.9826388889,15.71872756673873,13.315219647548046,9.81
735215.9861111111,15.222847385603716,12.870553401296185,9.78
735215.9895833334,14.231331841866151,11.980521431787274,9.73
735215.9930555555,14.19156195022427,11.950855552979153,9.71
735215.9965277778,13.44053780439206,11.279742430548756,9.67
735216.0,12.505723378833965,10.444799520221592,9.63
735216.0034722222,10.793731031957677,8.933789268800428,9.53
735216.0069444445,10.968626803374407,9.09010706909015,9.53
735216.0104166666,10.649732626231245,8.81260792787054,9.5
735216.0138888889,9.96094267707932,8.208740305448103,9.46
735216.0173611111,9.557734085919353,7.857867919330022,9.43
735216.0208333334,8.78367199626739,7.187034309769726,9.37
735216.0243055555,8.399484810662628,6.855283765432494,9.34
735216.0277777778,8.203960623455458,6.689505065268202,9.31
735216.03125,7.929160311130143,6.452666919031823,9.29
735216.0347222222,7.5733246817957545,6.150825394479838,9.24
735216.0381944445,7.1643360930149935,5.798365791268542,9.22
735216.0416666666,6.801951122427235,5.489087972290956,9.19
735216.0451388889,6.686050843560603,5.393434743371386,9.16
735216.0486111111,6.511268090077841,5.2469260512564295,9.13
735216.0520833334,6.453565945247419,5.198593207987333,9.12
735216.0555555555,6.265199510931343,5.03910680961683,9.1
735216.0590277778,5.964686985321993,4.784900284096116,9.07
735216.0625,6.032528045300557,4.844502471307733,9.06
735216.0659722222,5.40927054123674,4.316182248527757,9.02
735216.0694444445,4.934607970616827,3.918527812962534,8.97
735216.0729166666,5.0977502536290045,4.0580726870058985,8.96
735216.0763888889,5.007268633120016,3.9845869107243748,8.93
735216.0798611111,5.066441003106998,4.035992057685446,8.92
735216.0833333334,4.775208333161663,3.793197262275056,8.88
735216.0868055555,4.9656216347670386,3.9580940063648797,8.85
735216.0902777778,5.343795655412626,4.286740624072769,8.8
735216.09375,5.07530210631808,4.061714191766828,8.76
735216.0972222222,5.89763402033617,4.778033794713075,8.69
735216.1006944445,6.522099592737089,5.336540686842123,8.59
735216.1041666666,7.511969544299889,6.2323807037768635,8.46
735216.1076388889,5.5848233993567815,4.524097981009643,8.56
735216.1111111111,5.004905680439092,4.025327783342847,8.55
735216.1145833334,5.140086747603641,4.154361937468222,8.44
735216.1180555555,4.99958903797766,4.030986122808173,8.46
735216.1215277778,3.9243727446313024,3.112570012270292,8.48
735216.125,2.3674788524713755,1.8179798020263143,8.55
735216.1284722222,1.96551238040348,1.4925984037417512,8.58
735216.1319444445,1.7128936030343123,1.2912823594576501,8.58
735216.1354166666,1.283856397802505,0.9538805371379507,8.58
735216.1388888889,1.2709597060918048,0.9438359229033167,8.58
735216.1423611111,1.1600088234940527,0.8574412498689302,8.59
735216.1458333334,0.9062101938832622,0.6623041836868729,8.59
735216.1493055555,0.8098298156855953,0.5894570009008674,8.56
735216.1527777778,0.8909507844541583,0.6513868521378935,8.55
735216.15625,1.162666918245799,0.8606991118115696,8.54
735216.1597222222,0.9831963951234177,0.7228093031548726,8.51
735216.1631944445,0.9413560642892272,0.6912717942416919,8.48
735216.1666666666,0.7356002208784606,0.5357700447367465,8.39
735216.1701388889,0.8032338160857972,0.5868922682084506,8.41
735216.1736111111,9.998104645072111,8.47854672179287,8.45
735216.1770833334,8.457897949622554,7.0117038119905795,8.8
735216.1805555555,6.905642509872873,5.646437440493724,8.76
735216.1840277778,13.244129284928448,11.313813270014682,8.99
735216.1875,6.065021005463938,4.9329744373906115,8.62
735216.1909722222,7.076790776618568,5.803142295726862,8.72
735216.1944444445,9.668309155742383,8.067742702108129,8.93
735216.1979166666,8.914602693734627,7.401005135485173,8.89
735216.2013888889,11.278645103799375,9.480745392112558,9.1
735216.2048611111,8.518380771848054,7.045811398517165,8.9
735216.2083333334,10.31968821827846,8.613943215101001,9.1
735216.2118055555,9.66929470292711,8.032539299100277,9.09
735216.2152777778,9.141998432306616,7.568214255146633,9.06
735216.21875,10.58622140574111,8.846703556070283,9.13
735216.2222222222,15.808120983125416,13.513105469169199,9.5
735216.2256944445,21.09014668257268,18.257749790613254,9.97
735216.2291666666,24.727843085284647,21.50537794979178,10.35
735216.2326388889,26.298843550919656,22.915407260613527,10.5
735216.2361111111,27.5272330880093,24.016002552719332,10.62
735216.2395833334,28.74175381828863,25.095979999637862,10.75
735216.2430555555,30.145182256790328,26.321142434112723,10.93
735216.2465277778,30.83656509635496,26.93705598752894,11.0
735216.25,31.25464481720369,27.29625226460313,11.06
735216.2534722222,31.747675044696663,27.68978562321902,11.17
735216.2569444445,31.814596594279113,27.761851042993698,11.16
735216.2604166666,31.936965623331236,27.84973087205349,11.2
735216.2638888889,32.19707196096502,28.077860899408073,11.23
735216.2673611111,32.25649746245558,28.12757144601283,11.24
735216.2708333334,32.30037309680427,28.169898650326953,11.24
735216.2743055555,32.26892971451511,28.1853542150702,11.18
735216.2777777778,32.23454097756276,28.152128548293323,11.18
735216.28125,31.635796614188155,27.76989055536231,10.92
735216.2847222222,32.34749035248421,28.22300652742636,11.23
735216.2881944445,32.40441058821301,28.270297817721985,11.24
735216.2916666666,32.37596091338681,28.250490107368996,11.23
735216.2951388889,32.43599689673453,28.30845633769386,11.23
735216.2986111111,32.54408036941662,28.38208836214993,11.27
735216.3020833334,32.60800724249758,28.4360910743463,11.28
735216.3055555555,32.41388917954205,28.356213920893058,11.14
735216.3090277778,32.64319784829407,28.470055387504107,11.28
735216.3125,32.649604158570575,28.483949717562357,11.27
735216.3159722222,32.752589364987564,28.552475406746805,11.31
735216.3194444445,32.62070464904576,28.502336841567725,11.21
735216.3229166666,32.65286971716622,28.49481759096665,11.26
735216.3263888889,32.547228829186345,28.493047976158973,11.13
735216.3298611111,32.04172859021894,28.25641779922223,10.8
735216.3333333334,32.356982862852966,28.455371096687802,10.94
735216.3368055555,32.48673389045677,28.46533993269799,11.09
735216.3402777778,32.54408036941662,28.52094949542645,11.09
735216.34375,32.24076113125215,28.427371885439296,10.83
735216.3472222222,32.31925221176554,28.449628468640924,10.9
735216.3506944445,32.33495667765978,28.395285941834643,10.99
735216.3541666666,32.37596091338681,28.38107731899949,11.06
735216.3576388889,32.410729906293476,28.383952506572918,11.1
735216.3611111111,32.42652370206302,28.39925709395035,11.1
735216.3645833334,32.44546778142334,28.40990243702592,11.11
735216.3680555555,32.44862422995766,28.389838067502506,11.14
735216.3715277778,32.3917688639675,28.334803791624854,11.14
735216.375,32.2251453799537,28.250196588204716,11.04
735216.3784722222,32.190844776719814,28.216935153397625,11.04
735216.3819444445,32.363309911920496,28.30726165637617,11.14
735216.3854166666,32.34128732314078,28.26294376898345,11.17
735216.3888888889,32.33495667765978,28.256823185187354,11.17
735216.3923611111,32.18461658950589,28.134405402692092,11.14
735216.3958333334,32.23454097756276,28.182685030635795,11.14
735216.3993055555,32.10368610380144,28.086634881516993,11.1
735216.4027777778,31.976987906814465,27.994458756238505,11.06
735216.40625,32.007775594168116,28.01665798594559,11.07
735216.4097222222,31.946175694204296,27.979827477726673,11.04
735216.4131944445,31.93082435809801,27.949769502642464,11.06
735216.4166666666,31.989254819039836,27.99873000908642,11.07
735216.4201388889,31.964589261663342,27.959668306712874,11.09
735216.4236111111,28.823775629494417,25.410082263136726,10.41
735216.4270833334,27.30823636570805,24.022079334048755,10.29
735216.4305555555,27.34362871848233,24.06293922490254,10.28
735216.4340277778,26.631718753687757,23.419944889229466,10.21
735216.4375,28.11083514765821,24.71866966626529,10.41
735216.4409722222,28.115510811443144,24.75712850901649,10.36
735216.4444444445,24.885053774819806,21.82273122876454,10.07
735216.4479166666,25.323400861435193,22.202052928554142,10.14
735216.4513888889,26.292697276456714,23.09250871922405,10.21
735216.4548611111,26.70318767887584,23.50843216930567,10.18
735216.4583333334,27.154178055306705,23.899311020032133,10.25
735216.4618055555,26.87511668637144,23.648854931295144,10.22
735216.4652777778,26.41147759261289,23.226325934327356,10.18
735216.46875,24.54591603204161,21.57396967705267,9.94
735216.4722222222,23.608330980622952,20.729640343548358,9.84
735216.4756944445,25.391431709226886,22.29820780055971,10.09
735216.4791666666,24.679466401887925,21.696743380989776,9.95
735216.4826388889,25.237149132849957,22.18008793141718,10.04
735216.4861111111,24.29847334178687,21.329734090886387,9.95
735216.4895833334,23.838616204786053,20.89347012442172,9.94
735216.4930555555,23.316532723233976,20.432221029593407,9.87
735216.4965277778,23.321299390051166,20.45375192838746,9.84
735216.5,22.789089001314203,19.981954122121603,9.77
735216.5034722222,23.04423962816144,20.17110296363286,9.87
735216.5069444445,22.18228457628259,19.42206596003742,9.73
735216.5104166666,22.349098503778563,19.53316387916559,9.82
735216.5138888889,22.543698135960003,19.724770993040384,9.81
735216.5173611111,22.193049325606534,19.443144784016482,9.71
735216.5208333334,21.756783075994488,19.067840496632787,9.63
735216.5243055555,22.12901268921295,19.403294277013444,9.67
735216.5277777778,22.104805981618284,19.380082621154173,9.67
735216.53125,20.766821796700775,18.207694388384635,9.46
735216.5347222222,21.13529280515783,18.519608428899808,9.54
735216.5381944445,21.130946013598205,18.505163618094276,9.56
735216.5416666666,20.5985183776206,18.04160926271672,9.47
735216.5451388889,19.68185553503325,17.24394384883113,9.31
735216.5486111111,19.583587942137406,17.14050513720189,9.33
735216.5520833334,18.77946581475143,16.420484139390624,9.23
735216.5555555555,18.64246528046939,16.321903251742746,9.16
735216.5590277778,16.353691370971433,14.277465683079907,8.85
735216.5625,18.291947113466392,16.037205223693704,9.05
735216.5659722222,16.251393960467468,14.17646964168879,8.86
735216.5694444445,16.302578627578473,14.213006501124067,8.89
735216.5729166666,13.314771049452403,11.452910633415936,8.76
735216.5763888889,12.478235039161973,10.691372950805771,8.71
735216.5798611111,12.57385789891805,10.776978607270944,8.72
735216.5833333334,13.540672524589668,11.679893542351637,8.71
735216.5868055555,11.902797123082633,10.153639807176965,8.73
735216.5902777778,11.432610398867846,9.742951495706892,8.65
735216.59375,10.637207619944425,9.028607642748577,8.59
735216.5972222222,10.4849458524946,8.899323781520454,8.55
735216.6006944445,9.80047589295978,8.276997269859185,8.54
735216.6041666666,9.65135782734863,8.132207296618125,8.58
735216.6076388889,12.968536288855395,11.140295123449086,8.73
735216.6111111111,13.426858598196572,11.557338022945585,8.76
735216.6145833334,15.02147181448307,13.02649515012711,8.83
735216.6180555555,16.258156361516537,14.17093265669179,8.89
735216.6215277778,16.52614092619835,14.42898461241702,8.88
735216.625,20.03578902743491,17.641500463656094,9.19
735216.6284722222,21.97762864024949,19.43567910711741,9.34
735216.6319444445,20.986794444134222,18.5420675420402,9.22
735216.6354166666,21.873670161348915,19.335176738656568,9.34
735216.6388888889,21.302200931192477,18.79943330041448,9.31
735216.6423611111,20.58564300962942,18.145227755888374,9.24
735216.6458333334,19.929686962193717,17.539594529814412,9.19
735216.6493055555,19.229819883335946,16.901999359091043,9.12
735216.6527777778,18.65351305685735,16.378201571888244,9.06
735216.65625,18.07597703011223,15.844448255232969,9.02
735216.6597222222,17.597801472956167,15.41035788898171,8.97
735216.6631944445,18.57340658291398,16.306159214640964,9.05
735216.6666666666,20.85930875317015,18.372872215132585,9.31
735216.6701388889,25.570676856227163,22.626679871188188,9.84
735216.6736111111,27.73632288740797,24.585146347261652,10.07
735216.6770833334,26.203294982354187,23.242233178188638,9.84
735216.6805555555,27.904720347888386,24.790492018020664,10.01
735216.6840277778,25.515022651639068,22.767510119016766,9.53
735216.6875,26.774978127918033,24.005683079847334,9.53
