DN,SS,SB,BP,TB,TS
735256.9444444445,6.138313963925939,6.211796596930625,1.9003500000000002,5.77,5.98
735256.9479166666,6.0280015529959865,6.074471484864568,1.8758499999999998,5.72,5.8
735256.9513888889,5.843469086203157,5.879183902446926,1.8485500000000001,5.77,5.81
735256.9548611111,5.706728935957077,5.79094604650045,1.8278500000000009,5.81,5.83
735256.9583333334,5.493285387408671,5.62716851274122,1.8001500000000008,5.81,5.79
735256.9618055555,5.4067298901820875,5.6342528619268695,1.7828500000000005,5.59,5.8
735256.9652777778,5.20901927080944,5.41833679274389,1.754650000000001,5.56,5.71
735256.96875,4.987067724866537,5.153277243650913,1.7407499999999998,5.5,5.61
735256.9722222222,4.922425326999365,4.943129400416444,1.7197500000000006,5.52,5.6
735256.9756944445,4.876015364736435,4.861549361685081,1.6993500000000012,5.62,5.66
735256.9791666666,4.815227846856716,4.815956207402595,1.682050000000001,5.63,5.61
735256.9826388889,4.768989985809089,4.754387101938417,1.6647500000000008,5.58,5.61
735256.9861111111,4.720031879844373,4.711830887625131,1.64405,5.58,5.6
735256.9895833334,4.707968813248548,4.680803437086744,1.6302500000000009,5.52,5.64
735256.9930555555,4.658067262845664,4.650248479837238,1.6129500000000008,5.55,5.6
735256.9965277778,4.601317250017395,4.598039230121424,1.5991500000000003,5.61,5.65
735257.0,4.587394263227237,4.577360392193102,1.5884500000000004,5.48,5.64
735257.0034722222,4.549780635584049,4.534434235223723,1.5777500000000004,5.23,5.39
735257.0069444445,4.519240064840636,4.5210901465401925,1.5633499999999998,5.18,5.42
735257.0104166666,4.522985088320805,4.5351778843077515,1.5529499999999998,5.13,5.34
735257.0138888889,4.43593971959535,4.462927242113819,1.546050000000001,5.2,5.54
735257.0173611111,4.346364711710768,4.420281641094599,1.5391500000000007,5.16,5.35
735257.0208333334,4.24316606542434,4.312732952703812,1.535650000000001,5.15,5.34
735257.0243055555,4.15081944319519,4.233988090268781,1.535650000000001,5.15,5.3
735257.0277777778,4.049108914866188,4.149179590936893,1.5391500000000007,5.13,5.26
735257.03125,3.720168466363934,3.9572725157439312,1.5391500000000007,5.09,5.12
735257.0347222222,3.668559187981717,3.705971507073333,1.5388500000000007,5.13,5.28
735257.0381944445,3.5473549099684902,3.6818586016342683,1.54225,5.11,5.26
735257.0416666666,3.4822720991286236,3.534803113517303,1.5526499999999999,4.91,5.12
735257.0451388889,3.382093461831983,3.5016157946687323,1.5664500000000003,5.08,5.09
735257.0486111111,3.3496641644620886,3.4199047525609783,1.5765500000000003,5.07,5.16
735257.0520833334,3.323348965476867,3.392828584947547,1.5972500000000012,4.97,5.08
735257.0555555555,3.279026133671173,3.3129762568689856,1.62115,4.87,4.97
735257.0590277778,3.2381741788436447,3.278580976901565,1.6383499999999998,4.94,5.09
735257.0625,3.2277198741436273,3.2415456532848532,1.6729500000000002,4.95,5.02
735257.0659722222,3.217600775585388,3.255864845869912,1.693950000000001,4.97,5.07
735257.0694444445,3.2157782840560287,3.3738295517229995,1.7319500000000005,4.87,5.07
735257.0729166666,3.206167560984756,3.488886102118893,1.7382500000000007,4.66,5.17
735257.0763888889,3.2003888835122685,3.4847350649267432,1.75175,4.61,5.2
735257.0798611111,3.218942083364044,3.4459231012705,1.7759500000000004,4.62,5.16
735257.0833333334,2.7271780944728925,3.134762260413089,1.8004500000000008,4.91,4.51
735257.0868055555,2.6909632901585505,3.26053967262007,1.82145,4.91,4.51
735257.0902777778,2.748852877192672,3.377705574209663,1.8421500000000008,4.82,4.53
735257.09375,2.8203805266496262,3.515657928512769,1.86635,4.88,4.56
735257.0972222222,2.999899471160737,3.5105263189853426,1.870150000000001,4.94,4.63
735257.1006944445,2.9292152911840086,3.6040244313673906,1.9046500000000008,4.97,4.64
735257.1041666666,3.1155837215976883,3.674654659727261,1.92885,5.0,4.74
735257.1076388889,3.4447479144927815,3.733088964859974,1.9495500000000008,4.95,4.86
735257.1111111111,3.522195342634245,3.8612380874437413,1.9737500000000012,4.95,4.92
735257.1145833334,3.6766396450204626,3.8778158210986087,1.9875500000000001,4.93,4.94
