DN,C,S,T
735259.8715277778,31.00598733366277,28.464092941959088,9.22
735259.875,30.98779860602479,28.445640867106807,9.22
735259.8784722222,30.756734190433846,28.235062281782227,9.19
735259.8819444444,30.738668264441365,28.216740418766484,9.19
735259.8854166666,30.60254742548884,28.086602154533765,9.18
735259.8888888889,30.38570025283252,27.866879845064027,9.18
735259.8923611111,30.03775417470564,27.53790533077356,9.15
735259.8958333333,28.437385679210077,26.04832177011467,8.980000005699694
735259.8993055555,27.971473599077406,25.600215528385473,8.95
735259.9027777778,27.17574192909205,24.84167411817613,8.89
735259.90625,26.389686329051994,24.100118888227662,8.82
735259.9097222222,25.32726898693934,23.08198011776439,8.75
735259.9131944444,25.127860019115136,22.882588996374004,8.75
735259.9166666666,24.86289528188709,22.637078393505004,8.72
735259.9201388889,24.578266221717705,22.35296214042492,8.72
735259.9236111111,24.463921465260526,22.245205817591746,8.71
735259.9270833333,24.24370698097759,22.007130661387,8.739999998994172
735259.9305555555,24.65288547472312,22.402155644637396,8.76
735259.9340277778,24.98700697882625,22.735466352187053,8.76
735259.9375,25.206654405519412,22.954887600763065,8.76
735259.9409722222,24.909963458183235,22.664940859549723,8.75
735259.9444444444,24.52097801702463,22.3021095972094,8.710000001341106
735259.9479166666,25.082433839124697,22.83719486110664,8.75
735259.9513888889,24.43071781545241,22.193335072783913,8.74
735259.9548611111,23.17595045927433,21.000603719503854,8.65
735259.9583333333,22.93034499218276,20.751208555194996,8.659999999664723
735259.9618055555,22.896421677850594,20.70592662010892,8.68
735259.9652777778,22.998722381128605,20.801362475691654,8.69
735259.96875,23.03305162635805,20.835358331729296,8.69
735259.9722222222,22.47199881591025,20.286242378110995,8.68
735259.9756944444,22.82486367812572,20.629286534014646,8.689999999664723
735259.9791666666,22.791349464639698,20.59613411499156,8.69
735259.9826388889,22.765718590855172,20.559194839727365,8.71
735259.9861111111,23.92052878548845,21.65526577869397,8.79
735259.9895833333,25.42054184841441,23.103695166837376,8.859999997653068
735259.9930555555,25.75615098205948,23.425665998229448,8.88
735259.9965277778,25.65468910169806,23.324342839562355,8.88
735260.0,24.798975044366635,22.49080053588752,8.85
735260.0034722222,24.616823798230755,22.303384770240008,8.86
735260.0069444444,24.346138722064275,22.04077475964051,8.850000000335275
735260.0104166666,23.736818815492374,21.43085504357007,8.86
735260.0138888889,23.382114011630843,21.080281070438083,8.86
735260.0173611111,23.08180495248979,20.77229891428437,8.88
735260.0208333333,22.63121232769891,20.32312924406528,8.889999999664726
735260.0243055555,22.261654145548142,19.94350486792193,8.92
735260.0277777778,22.315660014640397,20.01891070012894,8.88
735260.03125,22.1932493311017,19.915602772810086,8.85
735260.0347222222,22.3344238060167,20.076788717899845,8.81
735260.0381944444,21.998346948495296,19.75770431139886,8.79000000067055
735260.0416666666,21.83592146854436,19.587222761677108,8.81
735260.0451388889,21.650173813349173,19.399684952324268,8.82
735260.0486111111,21.457968799174715,19.189931414114696,8.86
735260.0520833333,21.107747978315242,18.810949846018485,8.929999997653066
735260.0555555555,18.70884792930937,16.663790355142336,8.56
735260.0590277778,16.831765299877496,15.026072395712657,8.15
735260.0625,16.749085215562538,14.937352199009934,8.17
735260.0659722222,18.37089069529204,16.340771884748822,8.55
735260.0694444444,17.230601230515994,15.313377794707822,8.380000005699694
735260.0729166666,18.61709903708931,16.532742320676288,8.65
735260.0763888889,18.99402010544909,16.85025872922899,8.75
735260.0798611111,18.96245084445006,16.815005270646093,8.76
735260.0833333333,18.846071903868747,16.721393554060047,8.720000001341106
735260.0868055555,18.68856757134215,16.5831915000249,8.69
735260.0902777778,18.6750186778077,16.57009358740236,8.69
735260.09375,18.37089069529204,16.30851815468977,8.62
735260.0972222222,18.332365643059493,16.271275083845303,8.62
735260.1006944444,18.272776135221925,16.227415713519548,8.590000001005828
735260.1041666666,17.58199438957189,15.626863145948105,8.44
735260.1076388889,18.469560609653723,16.394693243193704,8.64
735260.1111111111,18.222509358274447,16.16968264195839,8.61
735260.1145833333,18.100104620552592,16.078661594524885,8.550000002011657
735260.1180555555,18.28992650662308,16.244002436403772,8.59
735260.1215277778,18.301884042000566,16.260156821244216,8.58
735260.125,18.222509358274447,16.18337795244428,8.58
735260.1284722222,17.961323695133313,15.948996849847246,8.54
735260.1319444444,17.2687698132406,15.36333011674044,8.350000006370246
735260.1354166666,18.553932036516464,16.47628900171049,8.64
735260.1388888889,16.928515839965524,15.107114910593646,8.18
735260.1423611111,17.828619341651805,15.89703378940606,8.37
735260.1458333333,16.58047155098339,14.807624091496358,8.090000009387731
735260.1493055555,16.271404378249503,14.570071321829769,7.94
735260.1527777778,16.48587988258432,14.766233238011807,7.97
735260.15625,16.520721873174566,14.808597890507405,7.95
735260.1597222222,16.432437042165564,14.726819037648266,7.94
735260.1631944444,16.385362949592654,14.689362766656275,7.920000000670552
735260.1666666666,16.415133282700786,14.709967914783828,7.94
735260.1701388889,16.2899855190076,14.60064618523966,7.91
735260.1736111111,16.202235482433277,14.527656777912036,7.88
735260.1770833333,16.54056630582648,14.844867610123057,7.909999998994172
735260.1805555555,16.1714322733528,14.514233198238985,7.84
735260.1840277778,15.890036293008368,14.256410552466358,7.8
