YY,MM,DD,hh,mm,WTMP
2012,12,11,07,50,11.7
2012,12,11,08,50,11.6
2012,12,11,09,50,11.4
2012,12,11,10,50,11.4
2012,12,11,11,50,11.5
2012,12,11,12,50,11.6
2012,12,11,13,50,11.7
2012,12,11,14,50,11.7
2012,12,11,15,50,11.7
2012,12,11,16,50,11.8
2012,12,11,17,50,11.8
2012,12,11,18,50,11.8
2012,12,11,19,50,11.8
2012,12,11,20,50,11.9
2012,12,11,21,50,11.9
2012,12,11,22,50,11.9
2012,12,11,23,50,11.9
2012,12,12,00,50,11.9
2012,12,12,01,50,11.9
2012,12,12,02,50,11.9
2012,12,12,03,50,11.9
2012,12,12,04,50,11.9
2012,12,12,05,50,11.9
2012,12,12,06,50,11.9
2012,12,12,07,50,11.9
2012,12,12,08,50,11.9
2012,12,12,09,50,11.8
2012,12,12,10,50,11.9
2012,12,12,11,50,11.8
2012,12,12,12,50,11.7
2012,12,12,13,50,11.7
2012,12,12,14,50,11.7
2012,12,12,15,50,11.7
2012,12,12,16,50,11.7
2012,12,12,17,50,11.7
2012,12,12,18,50,11.7
2012,12,12,19,50,11.8
2012,12,12,20,50,11.7
2012,12,12,21,50,11.7
2012,12,12,22,50,11.6
2012,12,12,23,50,11.7
2012,12,13,00,50,11.7
2012,12,13,01,50,11.6
2012,12,13,02,50,11.6
2012,12,13,03,50,11.6
2012,12,13,04,50,11.5
2012,12,13,05,50,11.6
2012,12,13,06,50,11.5
2012,12,13,07,50,11.5
2012,12,13,08,50,11.4
2012,12,13,09,50,11.5
2012,12,13,10,50,11.5
2012,12,13,11,50,11.4
2012,12,13,12,50,11.5
2012,12,13,13,50,11.5
2012,12,13,14,50,11.5
2012,12,13,15,50,11.5
2012,12,13,16,50,11.5
2012,12,13,17,50,11.5
2012,12,13,18,50,11.5
2012,12,13,19,50,11.6
2012,12,13,20,50,11.6
2012,12,13,21,50,11.6
2012,12,13,22,50,11.6
2012,12,13,23,50,11.5
2012,12,14,00,50,11.5
2012,12,14,01,50,11.6
2012,12,14,02,50,11.6
2012,12,14,03,50,11.5
2012,12,14,04,50,11.5
2012,12,14,05,50,11.5
2012,12,14,06,50,11.4
2012,12,14,07,50,11.4
2012,12,14,08,50,11.4
2012,12,14,09,50,11.4
2012,12,14,10,50,11.4
2012,12,14,11,50,11.3
2012,12,14,12,50,11.4
2012,12,14,13,50,11.4
2012,12,14,14,50,11.4
2012,12,14,15,50,11.4
2012,12,14,16,50,11.4
2012,12,14,17,50,11.4
2012,12,14,18,50,11.4
2012,12,14,19,50,11.3
2012,12,14,20,50,11.4
2012,12,14,21,50,11.4
2012,12,14,22,50,11.4
2012,12,14,23,50,11.4
2012,12,15,00,50,11.3
2012,12,15,01,50,11.2
2012,12,15,02,50,11.4
2012,12,15,03,50,11.4
2012,12,15,04,50,11.4
2012,12,15,05,50,11.4
2012,12,15,06,50,11.4
2012,12,15,07,50,11.4
2012,12,15,08,50,11.4
2012,12,15,09,50,11.4
2012,12,15,10,50,11.5
2012,12,15,11,50,11.4
2012,12,15,12,50,11.4
2012,12,15,13,50,11.4
2012,12,15,14,50,11.4
2012,12,15,15,50,11.4
2012,12,15,16,50,11.3
2012,12,15,17,50,11.3
2012,12,15,18,50,11.3
2012,12,15,19,50,11.2
2012,12,15,20,50,11.3
2012,12,15,21,50,11.3
