DN,C,S,T
735537.6458333334,,,
735537.6493055556,,,
735537.6527777779,,,
735537.65625,,,
735537.6597222222,,,
735537.6631944445,,,
735537.6666666667,,,
735537.6701388889,,,
735537.6736111111,,,
735537.6770833334,,,
735537.6805555556,,,
735537.6840277779,,,
735537.6875,,,
735537.6909722222,,,
735537.6944444445,,,
735537.6979166667,,,
735537.7013888889,,,
735537.7048611111,,,
735537.7083333334,,,
735537.7118055556,,,
735537.7152777779,,,
735537.71875,,,
735537.7222222222,,,
735537.7256944445,,,
735537.7291666667,,,
735537.7326388889,,,
735537.7361111111,,,
735537.7395833334,,,
735537.7430555556,,,
735537.7465277779,,,
735537.75,,,
735537.7534722222,,,
735537.7569444445,,,
735537.7604166667,,,
735537.7638888889,,,
735537.7673611111,,,
735537.7708333334,,,
735537.7743055556,,,
735537.7777777779,,,
735537.78125,,,
735537.7847222222,,,
735537.7881944445,,,
735537.7916666667,,,
735537.7951388889,,,
735537.7986111111,,,
735537.8020833334,,,
735537.8055555556,,,
735537.8090277779,,,
735537.8125,,,
735537.8159722222,,,
735537.8194444445,,,
735537.8229166667,,,
735537.8263888889,,,
735537.8298611111,,,
735537.8333333334,,,
735537.8368055556,,,
735537.8402777779,,,
735537.84375,,,
735537.8472222222,,,
735537.8506944445,29.262577832130003,26.695057683068907,9.23
735537.8541666667,28.990083964334133,26.398954061876854,9.260000001005828
735537.8576388889,28.7217520794887,26.107863770074616,9.29
735537.8611111111,28.466538989552532,25.845141032054084,9.3
735537.8645833334,28.299517086068565,25.65664705680485,9.33
735537.8680555556,27.987977040417885,25.338699112936183,9.340000001005828
735537.8715277779,27.838589932122936,25.16876491158195,9.370000001341104
735537.875,27.722919386968453,25.0257477457968,9.41
735537.8784722222,27.9011069884572,25.19585226563824,9.42
735537.8819444445,27.09398737383172,24.401773539472263,9.41
735537.8854166667,26.83162963824081,24.12187799761684,9.440000001005828
735537.8888888889,26.52762577130437,23.801700198460647,9.47
735537.8923611111,26.088140047938627,23.355736522805255,9.49
735537.8958333334,26.014811480947465,23.270677239823126,9.51
735537.8993055556,25.61996458695533,22.87034360081649,9.530000000670551
735537.9027777779,25.638314795043748,22.875608875899797,9.549999999329449
735537.90625,25.44469982402805,22.6986302710385,9.53
735537.9097222222,25.263663598382294,22.471418265354547,9.61
735537.9131944445,25.007265758512336,22.208939056067948,9.63
735537.9166666667,24.68622695582983,21.872071021380172,9.670000000335277
735537.9201388889,24.573482594265723,21.75650453693289,9.68
735537.9236111111,24.305425453103087,21.478538371430247,9.71
735537.9270833334,24.119104460914865,21.280414536749458,9.74
735537.9305555556,23.848647031066506,20.989956736160252,9.790000002682207
735537.9340277779,23.45935427754535,20.569329168642266,9.870000001005828
735537.9375,23.05586012426223,20.165516299013866,9.9
735537.9409722222,22.37310185465011,19.51831094139579,9.89
735537.9444444445,22.83998769591328,19.942397564302514,9.93
735537.9479166667,22.853547793788152,19.95535690900459,9.93
735537.9513888889,22.65216843580913,19.762994351285162,9.93
735537.9548611111,22.873880724215326,19.952750144805965,9.97
735537.9583333334,22.545975081220973,19.64536381033354,9.96
735537.9618055556,22.025204075072473,19.14955199555748,9.960000000670554
735537.9652777779,21.982232804211048,19.098160871475077,9.979999999329447
735537.96875,21.272312763848984,18.435191886000982,9.96
735537.9722222222,21.500301876837415,18.63063851674159,10.0
735537.9756944445,21.003285039093722,18.150583711908148,10.02
735537.9791666667,22.2944318739891,19.32032748321866,10.120000002346933
735537.9826388889,22.95037469684084,19.904824582117723,10.19
735537.9861111111,22.71301520064726,19.66880613632649,10.21
735537.9895833334,23.468005050685772,20.346541367576965,10.28
735537.9930555556,23.149605225658558,20.033444611289553,10.299999995306134
735537.9965277779,21.096226059178484,18.16817073439213,10.160000003352762
735538.0,22.202805386743528,19.159614302572287,10.26
735538.0034722222,22.147827444007937,19.102487671908943,10.27
735538.0069444445,21.936045826540287,18.9028326996307,10.27
735538.0104166667,21.595758666005324,18.58760822613243,10.259999998323618
735538.0138888889,21.11041826375867,18.156550162970824,10.21
735538.0173611111,20.715486099539874,17.795675296416587,10.19
735538.0208333334,20.386293950240315,17.496787275897194,10.17
735538.0243055556,20.36064337746501,17.47275921183849,10.169999998658895
735538.0277777779,19.63363464894257,16.811664720024726,10.129999999329447
735538.03125,19.88956394422344,17.060226954822113,10.11
735538.0347222222,18.086679473140183,15.403165062308458,10.06
735538.0381944445,18.731278801610312,16.037309333947476,9.98
735538.0416666667,20.34556396736248,17.48266223472042,10.120000004023312
735538.0451388889,21.99539811398522,18.974388315686483,10.24
735538.0486111111,21.2468403730201,18.284772699326087,10.21
735538.0520833334,22.91630128937608,19.83429395228243,10.26
735538.0555555556,22.924851845359232,19.858752103368168,10.229999998994172
735538.0590277779,23.335983323191403,20.26570821045751,10.199999998658894
735538.0625,22.904422794933186,19.877595952029132,10.16
735538.0659722222,22.329519546580446,19.35891857522297,10.11
735538.0694444445,22.822972754925953,19.822044353049474,10.12
735538.0729166667,22.478772223439403,19.50051977990448,10.109999999329446
735538.0763888889,22.753545435111352,19.772384001787916,10.09
735538.0798611111,23.037035486623047,20.04770801685468,10.08
735538.0833333334,23.236743848920163,20.238067761325805,10.08
735538.0868055556,23.378804279951726,20.3904446915992,10.049999999664726
735538.0902777779,23.712284349717923,20.71496194166629,10.04
735538.09375,24.03571955760845,21.02477722323289,10.04
735538.0972222222,24.781602379816867,21.75319505061732,10.02
735538.1006944445,25.1180894758593,22.083547584213267,10.01
735538.1041666667,25.51929317801304,22.477197477122413,9.999999999329448
735538.1076388889,25.912014351813493,22.86992888306012,9.98
735538.1111111111,26.088140047938627,23.066194611041333,9.94
735538.1145833334,25.964248330657885,22.93322739759374,9.96
735538.1180555556,27.536842227059335,24.559662641391704,9.820000002346932
735538.1215277779,26.63666131835511,23.632315740964568,9.889999997317792
735538.125,27.551528344391038,24.580880566754765,9.81
735538.1284722222,28.677637059896245,25.78219947759763,9.68
735538.1319444445,29.00917322109533,26.161701889810402,9.61
735538.1354166667,28.907003784673318,26.060154832571314,9.609999997317791
735538.1388888889,29.649994394561798,26.8594256172324,9.53
735538.1423611111,29.756673721290753,26.98108152184718,9.51
735538.1458333334,29.787354813315208,27.011778481778254,9.51
735538.1493055556,29.952258254657792,27.199555777891806,9.479999998994172
735538.1527777779,30.074924326239778,27.345374316677084,9.45
735538.15625,30.159293496162906,27.430065795438065,9.45
735538.1597222222,30.212275505386994,27.48326723121654,9.45
735538.1631944445,30.23356994319937,27.48932944672683,9.47
735538.1666666667,30.230895319691232,27.486644673916324,9.47
735538.1701388889,30.281608475763555,27.537555960513163,9.47
735538.1736111111,30.297654839933188,27.553667518121408,9.47
735538.1770833334,30.28963170531798,27.53793886456609,9.48
735538.1805555556,30.399787452839256,27.64853941731471,9.479999999664726
735538.1840277779,30.432285837197075,27.688892856641015,9.470000000335276
735538.1875,30.41336289982496,27.662173600533805,9.48
735538.1909722222,30.429611973445095,27.686206365640455,9.47
735538.1944444445,30.41336289982496,27.685306859663402,9.45
735538.1979166667,30.388988622678845,27.62999709307851,9.489999999329449
735538.2013888889,30.443084039823688,27.699742394197646,9.47
735538.2048611111,30.456658704313853,27.705662474944596,9.48
735538.2083333334,30.434959692714834,27.66074479185287,9.51
735538.2118055556,30.46210906994942,27.711137764872813,9.480000000335277
735538.2152777779,30.462109070404534,27.70341975625377,9.489999999664724
735538.21875,30.475683397889025,27.724774770736868,9.48
735538.2222222222,30.486583822676756,27.735726148854695,9.48
735538.2256944445,30.481133629333208,27.73025040967577,9.48
735538.2291666667,30.49203397834388,27.71803288878057,9.51
735538.2326388889,30.500157724490126,27.72618830168623,9.51
735538.2361111111,30.494707625380016,27.743888286081862,9.48
735538.2395833334,30.494707625380016,27.736161078900576,9.49
735538.2430555556,30.494707625562743,27.720716924589794,9.509999999329448
735538.2465277779,30.500157724035027,27.741635530000266,9.49
735538.25,30.486583822676756,27.72800123394814,9.49
735538.2534722222,30.505607786026996,27.75484036574666,9.48
735538.2569444445,30.502934175618993,27.752153969275806,9.48
735538.2604166667,30.45665870395182,27.697946002617392,9.49
735538.2638888889,30.445860695433442,27.687102070028544,9.49
735538.2673611111,30.497484095668717,27.746677928510877,9.48
735538.2708333334,30.475683397889025,27.717052931403472,9.49
735538.2743055556,30.46755939585665,27.70889360720533,9.489999999329449
735538.2777777779,30.43495969289758,27.691579373172367,9.470000000335276
735538.28125,30.440410213701274,27.689340502104745,9.48
735538.2847222222,30.41336289982496,27.654469341191156,9.49
735538.2881944445,30.375515569308835,27.616471073949185,9.49
735538.2916666667,30.340546164946282,27.581368149168203,9.49
735538.2951388889,30.359368145459342,27.600261286945205,9.49
735538.2986111111,30.351345722815292,27.592208333098164,9.49
735538.3020833334,30.319049405640072,27.55979214249185,9.49
735538.3055555556,30.300329197047084,27.541004679110884,9.489999999664724
735538.3090277779,30.297654835735777,27.5459924788463,9.480000001005829
735538.3125,30.172462258544215,27.39745951808972,9.51
735538.3159722222,30.117007508449372,27.341879462348054,9.51
735538.3194444445,29.960080062058815,27.177108722297685,9.52
735538.3229166667,29.789928633316908,26.999319634243975,9.530000000670551
735538.3263888889,29.622187565078477,26.816710787917987,9.55
735538.3298611111,29.718473929982796,26.91289317069753,9.55
735538.3333333334,30.04878800253289,27.26593404770136,9.52
735538.3368055556,29.81803389829202,27.027427868664073,9.530000000670551
735538.3402777779,29.569452459403394,26.764051018047436,9.550000000335277
735538.34375,29.345866278941184,26.533547687196613,9.56
735538.3472222222,29.289380852848936,26.469870158206167,9.57
735538.3506944445,29.313914012073987,26.47959241381934,9.59
735538.3541666667,29.119452225216023,26.278665949670657,9.600000000335275
735538.3576388889,28.990083973330663,26.14272520419884,9.61
735538.3611111111,28.787030309170746,25.92656550407097,9.63
735538.3645833334,28.464263416471862,25.599337952211368,9.64
735538.3680555556,28.203616116189295,25.327193506269655,9.660000000335275
735538.3715277779,27.894669810057437,25.01493582090228,9.670000000335277
735538.375,27.684648319449586,24.800816410518145,9.68
735538.3784722222,27.557881227299163,24.662179487338648,9.7
735538.3819444445,27.31241255421462,24.41380925544671,9.71
