DN,C,S,T
735537.6458333334,,,
735537.6493055556,,,
735537.6527777779,,,
735537.65625,,,
735537.6597222222,,,
735537.6631944445,,,
735537.6666666667,,,
735537.6701388889,,,
735537.6736111111,,,
735537.6770833334,,,
735537.6805555556,,,
735537.6840277779,,,
735537.6875,,,
735537.6909722222,,,
735537.6944444445,,,
735537.6979166667,,,
735537.7013888889,,,
735537.7048611111,,,
735537.7083333334,,,
735537.7118055556,,,
735537.7152777779,,,
735537.71875,,,
735537.7222222222,,,
735537.7256944445,,,
735537.7291666667,,,
735537.7326388889,,,
735537.7361111111,,,
735537.7395833334,,,
735537.7430555556,,,
735537.7465277779,,,
735537.75,,,
735537.7534722222,,,
735537.7569444445,,,
735537.7604166667,,,
735537.7638888889,,,
735537.7673611111,,,
735537.7708333334,,,
735537.7743055556,,,
735537.7777777779,,,
735537.78125,,,
735537.7847222222,,,
735537.7881944445,,,
735537.7916666667,,,
735537.7951388889,15.795591844225228,13.595821516946758,9.25
735537.7986111111,15.264080608116465,13.07800198097414,9.31
735537.8020833334,14.614626373437904,12.451165048111843,9.38
735537.8055555556,14.111341994867045,11.98034946535246,9.400000003017485
735537.8090277779,13.359469241183762,11.262222400552206,9.490000001005829
735537.8125,13.074143216519463,10.992900502252683,9.52
735537.8159722222,12.647466897360843,10.584646759508752,9.59
735537.8194444445,12.100135264029865,10.073427578470241,9.65
735537.8229166667,11.91421370382468,9.914484256523842,9.620000001341104
735537.8263888889,11.97239033435851,9.955767675574966,9.66
735537.8298611111,11.936757560099236,9.923747868003568,9.66
735537.8333333334,11.645955828530836,9.646731201800923,9.72
735537.8368055556,11.67402678226719,9.671853475104843,9.720000000335276
735537.8402777779,11.378579926158412,9.405130311042077,9.730000002011657
735537.84375,11.244787688049005,9.270369889079905,9.79
735537.8472222222,10.798051109821175,8.866120867833972,9.82
735537.8506944445,10.848790261661472,8.92094504074266,9.78
735537.8541666667,10.726620111856894,8.795560519535034,9.849999997653066
735537.8576388889,10.525704632841625,8.634662028992167,9.78
735537.8611111111,10.324824041682252,8.438400320189617,9.86
735537.8645833334,10.095379354946475,8.234133886790683,9.87
735537.8680555556,10.040573521734483,8.195011194354807,9.82999999396503
735537.8715277779,10.00969248445077,8.208636011559339,9.65000000167638
735537.875,9.724832894294602,7.946181351137846,9.7
735537.8784722222,9.788967464131385,8.027090931516138,9.59
735537.8819444445,9.657079476405404,7.904060700600805,9.62
735537.8854166667,9.406573878167553,7.655850039060655,9.749999999329447
735537.8888888889,9.186487844072987,7.467312525242804,9.73
735537.8923611111,8.96937413729152,7.330219190868325,9.47
735537.8958333334,8.430133992166088,6.834524213771587,9.59
735537.8993055556,8.316314191787944,6.73725135307913,9.580000003688038
735537.9027777779,8.3818435294164,6.773650570711127,9.689999992623925
735537.90625,8.38012908580679,6.813615030378167,9.47
735537.9097222222,8.334696589242753,6.719676334758476,9.76
735537.9131944445,8.099160048070372,6.599563987261356,9.3
735537.9166666667,7.931634297906416,6.474669213282628,9.180000001005828
735537.9201388889,7.93944379055275,6.476090648555016,9.21
735537.9236111111,7.677831721911739,6.248958921056815,9.2
735537.9270833334,7.6304056514056695,6.210995750439513,9.18
735537.9305555556,7.378900800000372,5.998242974834247,9.140000014081599
735537.9340277779,8.22830835263288,6.664353466964452,9.560000000670552
735537.9375,8.24973818135597,6.679301218843741,9.58
735537.9409722222,7.6604992610099485,6.207801934307018,9.35
735537.9444444445,7.153782146632871,5.784362918655064,9.25
735537.9479166667,7.724877228095883,6.204984638664302,9.69000001274049
735537.9513888889,8.000491569067773,6.3758444767410225,10.07
735537.9548611111,6.929145620604306,5.500595623335925,9.83
735537.9583333334,8.970326770828056,7.1847067856977995,10.2
735537.9618055556,7.438038355870972,5.863598577121989,10.26999999396503
735537.9652777779,7.299099136000105,5.774623670359613,10.090000008381903
735537.96875,8.324695791910491,6.604751741487007,10.34
735537.9722222222,6.584725504194791,5.212452875430191,9.8
735537.9756944445,7.553077148300561,5.941423384618706,10.39
735537.9791666667,7.271578193741137,5.704158408794512,10.390000002011657
735537.9826388889,7.306907820119721,5.724496844889623,10.45
735537.9861111111,7.456989155909544,5.860345956134803,10.39
735537.9895833334,6.741270086888389,5.252188183518443,10.44
735537.9930555556,7.265959722729166,5.6916461797415465,10.440000004023313
735537.9965277779,6.485410283547091,5.022470681523151,10.559999998323619
735538.0,6.725844064384514,5.229308450637992,10.51
735538.0034722222,6.930478759033906,5.400001645994746,10.51
735538.0069444445,6.056353977678467,4.7138168536024425,10.2
735538.0104166667,6.609768682290215,5.150939879993836,10.380000003017484
735538.0138888889,6.498931573535746,5.0460586119341375,10.47
735538.0173611111,6.399140918186046,4.956367897641939,10.52
735538.0208333334,6.265548284429602,4.85494397108231,10.45
735538.0243055556,6.366956683667729,4.9337196350020465,10.49000000167638
735538.0277777779,6.241743592215748,4.823345069942374,10.53999999899417
735538.03125,6.043594832742506,4.663492161697177,10.51
735538.0347222222,6.108723706255872,4.7172819994493285,10.51
735538.0381944445,5.898293598329303,4.538712224306151,10.55
735538.0416666667,5.934285534373792,4.559637642888832,10.619999997988343
735538.0451388889,5.90629180035687,4.544056247439703,10.56
735538.0486111111,5.840878035653723,4.48781239385507,10.58
735538.0520833334,5.717382789924858,4.380472830100803,10.63
735538.0555555556,5.66920367505247,4.3790948207638865,10.310000003688037
735538.0590277779,6.019885692651259,4.655344354758774,10.419999993629753
735538.0625,5.7646098703210225,4.467696466969794,10.23
735538.0659722222,5.863634763167758,4.5151177031969745,10.51
735538.0694444445,5.731950808962406,4.4188291317277155,10.41
735538.0729166667,5.666347193006675,4.389940450604129,10.200000003688038
735538.0763888889,5.552088849156453,4.282482878508711,10.31
735538.0798611111,5.8222156352259615,4.468829507399984,10.61
735538.0833333334,6.1726150073282575,4.7922983713097995,10.34
735538.0868055556,6.941810453458007,5.448067730140592,10.249999999664723
735538.0902777779,7.251199441716056,5.71041931596933,10.239999999664724
735538.09375,7.011991004749065,5.510157064274587,10.23
735538.0972222222,7.022180085254276,5.532387884633131,10.14
735538.1006944445,6.99656456775268,5.5213635561063805,10.07
735538.1041666667,6.961807581726166,5.5040642149458545,9.990000001341105
735538.1076388889,7.457655767723429,5.919078437425253,10.03
735538.1111111111,7.558981509278107,6.012046257410322,9.99
735538.1145833334,7.718020362658704,6.15641122674135,9.94
735538.1180555556,7.893158433574056,6.310028254781272,9.920000000335277
735538.1215277779,8.127541899569133,6.509732731515099,9.930000000335276
735538.125,8.3827007515782,6.727765666797921,9.94
735538.1284722222,8.653878249098396,6.963971269265024,9.93
735538.1319444445,8.869349339003039,7.150653870931561,9.93
735538.1354166667,9.16400399221435,7.406605104002421,9.929999999664723
735538.1388888889,9.397903434924954,7.612417032535447,9.92
735538.1423611111,9.642214070843751,7.8257527981719965,9.92
735538.1458333334,10.061256533907525,8.204138371712347,9.87
735538.1493055556,10.066403508660297,8.201866794953512,9.9
735538.1527777779,10.26362235251307,8.375225478073936,9.899999999664724
735538.15625,10.653477622501557,8.721234452052437,9.89
735538.1597222222,11.03698788144776,9.06049579454816,9.89
735538.1631944445,11.31320764405151,9.297839579040824,9.92
735538.1666666667,11.622659833469267,9.56226098112287,9.96000000100583
735538.1701388889,11.941533927369404,9.837894489903311,9.99
735538.1736111111,12.51142314661569,10.360726806088374,9.94
735538.1770833334,13.009183089609154,10.798454110803824,9.97
735538.1805555556,13.907666628165298,11.601895151565916,9.990000000670552
735538.1840277779,14.355030484160215,12.000263728679565,10.01
735538.1875,14.836331114698098,12.437161240174634,10.01
735538.1909722222,15.672593042538075,13.203351134991149,10.0
735538.1944444445,16.675075974954126,14.119418077837926,10.01
735538.1979166667,17.42618824937719,14.804216168998165,10.030000001005828
735538.2013888889,18.338100001755752,15.63645769840687,10.06
735538.2048611111,19.027855055020616,16.264833174435335,10.09
735538.2083333334,19.89669668005406,17.076299387235938,10.09
735538.2118055556,20.389103868380936,17.52832586208439,10.11
735538.2152777779,20.206036858400243,17.35662805915236,10.110000000670551
735538.21875,20.679500859931903,17.791254755833933,10.13
735538.2222222222,21.014527567530635,18.106264197401757,10.13
735538.2256944445,21.332167745748766,18.400399541938878,10.14
735538.2291666667,21.507988580934494,18.56619003300342,10.140000000670552
735538.2326388889,22.141487892334446,19.15431698046793,10.16
735538.2361111111,21.885617710309436,18.912402956530876,10.16
735538.2395833334,22.034182070565123,19.047584709152613,10.17
735538.2430555556,22.406342648190538,19.405073956232012,10.159999999999998
735538.2465277779,22.17174496899512,19.182945623208628,10.160000000335275
735538.25,22.14709579851536,19.15435433499387,10.17
735538.2534722222,22.192734097097485,19.19752754770618,10.17
735538.2569444445,21.58444970566945,18.62296603936888,10.17
735538.2604166667,21.812249235698253,18.843097549702723,10.160000000335275
735538.2638888889,22.445345424756848,19.436684294630187,10.17
735538.2673611111,22.79591925985131,19.76911654312811,10.17
735538.2708333334,22.124405768452704,19.13289378850165,10.17
735538.2743055556,22.632885953567275,19.619838637809597,10.159999999329447
735538.2777777779,22.76547673983356,19.75652190086983,10.139999999664724
735538.28125,22.135745754372607,19.164694573812803,10.13
735538.2847222222,19.31304754282716,16.530744310393402,10.09
735538.2881944445,18.49358566241027,15.780908284942512,10.06
735538.2916666667,17.72453632798071,15.067754960582407,10.059999997653067
735538.2951388889,15.697938137952475,13.23018229280215,9.99
735538.2986111111,15.803630032579356,13.334284381006462,9.97
735538.3020833334,15.352975320428385,12.922000255137812,9.97
735538.3055555556,14.627775244595993,12.264561335617426,9.96
735538.3090277779,14.508811106086137,12.156443753814427,9.96
735538.3125,14.268034025837142,11.937895795620474,9.96
735538.3159722222,13.169312084636623,10.945406760755011,9.96
735538.3194444445,12.579916925641133,10.416339975703984,9.96
735538.3229166667,11.565569200617748,9.511533065989042,9.95999999932945
735538.3263888889,11.215303164085087,9.205909469436362,9.94
735538.3298611111,10.726620118593111,8.77373632059417,9.94
735538.3333333334,10.601317772508885,8.663219863884633,9.94
735538.3368055556,10.330162659420264,8.424483376971056,9.939999999664723
735538.3402777779,10.820082257345522,8.858692558862142,9.93
735538.34375,10.756279103061608,8.802341197178091,9.93
