Y,M,D,h,min,SAL
2013,5,2,20,10,32.4
2013,5,2,20,20,32.4
2013,5,2,20,30,32.4
2013,5,2,20,40,32.5
2013,5,2,20,50,32.5
2013,5,2,21,0,32.5
2013,5,2,21,10,32.5
2013,5,2,21,20,32.5
2013,5,2,21,30,32.5
2013,5,2,21,40,32.5
2013,5,2,21,50,32.5
2013,5,2,22,0,32.5
2013,5,2,22,10,32.5
2013,5,2,22,20,32.5
2013,5,2,22,30,32.5
2013,5,2,22,40,32.5
2013,5,2,22,50,32.5
2013,5,2,23,0,32.4
2013,5,2,23,10,32.4
2013,5,2,23,20,32.4
2013,5,2,23,30,32.4
2013,5,2,23,40,32.4
2013,5,2,23,50,32.4
2013,5,3,0,0,32.4
2013,5,3,0,10,32.4
2013,5,3,0,20,32.4
2013,5,3,0,30,32.4
2013,5,3,0,40,32.2
2013,5,3,0,50,32.2
2013,5,3,1,0,32.2
2013,5,3,1,10,32.1
2013,5,3,1,20,32.1
2013,5,3,1,30,32.1
2013,5,3,1,40,32.1
2013,5,3,1,50,32.1
2013,5,3,2,0,32.1
2013,5,3,2,10,32.1
2013,5,3,2,20,32.1
2013,5,3,2,30,32.1
2013,5,3,2,40,32.1
2013,5,3,2,50,32
2013,5,3,3,0,32
2013,5,3,3,10,32
2013,5,3,3,20,32.1
2013,5,3,3,30,32
2013,5,3,3,40,32.1
2013,5,3,3,50,32.1
2013,5,3,4,0,32.1
2013,5,3,4,10,32.1
2013,5,3,4,20,32.1
2013,5,3,4,30,32.2
2013,5,3,4,40,32.2
2013,5,3,4,50,32.2
2013,5,3,5,0,32.2
2013,5,3,5,10,32.3
2013,5,3,5,20,32.3
2013,5,3,5,30,32.3
2013,5,3,5,40,32.3
2013,5,3,5,50,32.3
2013,5,3,6,0,32.3
2013,5,3,6,10,32.4
2013,5,3,6,20,32.4
2013,5,3,6,30,32.4
2013,5,3,6,40,32.4
2013,5,3,6,50,32.4
2013,5,3,7,0,32.4
2013,5,3,7,10,32.5
2013,5,3,7,20,32.5
2013,5,3,7,30,32.5
2013,5,3,7,40,32.5
2013,5,3,7,50,32.6
2013,5,3,8,0,32.6
2013,5,3,8,10,32.6
2013,5,3,8,20,32.6
2013,5,3,8,30,32.6
2013,5,3,8,40,32.7
2013,5,3,8,50,32.7
2013,5,3,9,0,32.7
2013,5,3,9,10,32.7
2013,5,3,9,20,32.8
2013,5,3,9,30,32.8
2013,5,3,9,40,32.8
2013,5,3,9,50,32.8
2013,5,3,10,0,32.8
2013,5,3,10,10,99
2013,5,3,10,20,32.9
2013,5,3,10,30,32.9
2013,5,3,10,40,32.9
2013,5,3,10,50,32.9
2013,5,3,11,0,32.9
2013,5,3,11,10,32.9
2013,5,3,11,20,32.9
2013,5,3,11,30,32.9
2013,5,3,11,40,32.9
2013,5,3,11,50,32.9
2013,5,3,12,0,32.9
2013,5,3,12,10,32.9
2013,5,3,12,20,99
2013,5,3,12,30,32.9
2013,5,3,12,40,32.9
2013,5,3,12,50,32.9
2013,5,3,13,0,32.9
2013,5,3,13,10,33
2013,5,3,13,20,33
2013,5,3,13,30,33
2013,5,3,13,40,33
2013,5,3,13,50,32.9
2013,5,3,14,0,32.9
2013,5,3,14,10,32.9
2013,5,3,14,20,32.9
2013,5,3,14,30,32.9
2013,5,3,14,40,32.9
2013,5,3,14,50,32.9
2013,5,3,15,0,32.9
2013,5,3,15,10,32.9
2013,5,3,15,20,32.9
2013,5,3,15,30,32.9
2013,5,3,15,40,32.9
2013,5,3,15,50,32.9
2013,5,3,16,0,32.9
2013,5,3,16,10,32.9
2013,5,3,16,20,32.9
2013,5,3,16,30,32.9
2013,5,3,16,40,32.9
2013,5,3,16,50,32.9
2013,5,3,17,0,32.9
2013,5,3,17,10,32.9
2013,5,3,17,20,32.9
2013,5,3,17,30,32.9
2013,5,3,17,40,32.9
2013,5,3,17,50,32.9
2013,5,3,18,0,32.9
2013,5,3,18,10,32.9
2013,5,3,18,20,32.9
2013,5,3,18,30,32.9
2013,5,3,18,40,33
2013,5,3,18,50,33
2013,5,3,19,0,33
2013,5,3,19,10,33
2013,5,3,19,20,32.9
2013,5,3,19,30,33
2013,5,3,19,40,33
2013,5,3,19,50,99
2013,5,3,20,0,33
2013,5,3,20,10,33
2013,5,3,20,20,33
2013,5,3,20,30,33
2013,5,3,20,40,33
2013,5,3,20,50,33
2013,5,3,21,0,33
2013,5,3,21,10,33
2013,5,3,21,20,33
2013,5,3,21,30,33.1
2013,5,3,21,40,33.1
2013,5,3,21,50,33
2013,5,3,22,0,33.1
2013,5,3,22,10,33.1
2013,5,3,22,20,33.1
2013,5,3,22,30,33.1
2013,5,3,22,40,33.1
2013,5,3,22,50,33.1
2013,5,3,23,0,33.1
2013,5,3,23,10,33.1
2013,5,3,23,20,33.1
2013,5,3,23,30,33.1
2013,5,3,23,40,33.1
2013,5,3,23,50,33.1
2013,5,4,0,0,33.1
2013,5,4,0,10,33.1
2013,5,4,0,20,33.1
2013,5,4,0,30,33.1
2013,5,4,0,40,33.1
2013,5,4,0,50,33.1
2013,5,4,1,0,33.1
2013,5,4,1,10,33.1
2013,5,4,1,20,33.1
2013,5,4,1,30,33.1
2013,5,4,1,40,33.1
2013,5,4,1,50,33.1
2013,5,4,2,0,33.1
2013,5,4,2,10,33.1
2013,5,4,2,20,33
2013,5,4,2,30,33.1
2013,5,4,2,40,33
2013,5,4,2,50,33.1
2013,5,4,3,0,33
2013,5,4,3,10,33
2013,5,4,3,20,33
2013,5,4,3,30,33
2013,5,4,3,40,33
2013,5,4,3,50,33
2013,5,4,4,0,33
2013,5,4,4,10,33
2013,5,4,4,20,33
2013,5,4,4,30,33
2013,5,4,4,40,33
2013,5,4,4,50,33
2013,5,4,5,0,33
2013,5,4,5,10,33
2013,5,4,5,20,33
2013,5,4,5,30,33
2013,5,4,5,40,33
2013,5,4,5,50,33
2013,5,4,6,0,33
2013,5,4,6,10,33
2013,5,4,6,20,33.1
2013,5,4,6,30,33.1
2013,5,4,6,40,33.1
2013,5,4,6,50,33.1
2013,5,4,7,0,33.1
2013,5,4,7,10,33.1
2013,5,4,7,20,33.1
2013,5,4,7,30,33.1
2013,5,4,7,40,33.1
2013,5,4,7,50,33.1
2013,5,4,8,0,33.1
2013,5,4,8,10,33.1
2013,5,4,8,20,33.1
2013,5,4,8,30,33.1
2013,5,4,8,40,33.1
2013,5,4,8,50,33.1
2013,5,4,9,0,33.1
2013,5,4,9,10,33.1
2013,5,4,9,20,33.2
2013,5,4,9,30,33.2
2013,5,4,9,40,33.2
2013,5,4,9,50,33.2
2013,5,4,10,0,33.2
2013,5,4,10,10,33.2
2013,5,4,10,20,33.2
2013,5,4,10,30,33.3
2013,5,4,10,40,33.3
2013,5,4,10,50,33.3
2013,5,4,11,0,33.3
2013,5,4,11,10,33.3
2013,5,4,11,20,33.3
2013,5,4,11,30,33.3
2013,5,4,11,40,33.3
2013,5,4,11,50,33.3
2013,5,4,12,0,33.3
2013,5,4,12,10,33.3
2013,5,4,12,20,33.3
2013,5,4,12,30,33.3
2013,5,4,12,40,33.4
2013,5,4,12,50,33.4
2013,5,4,13,0,33.4
2013,5,4,13,10,33.4
2013,5,4,13,20,33.4
2013,5,4,13,30,33.4
2013,5,4,13,40,33.4
2013,5,4,13,50,33.4
2013,5,4,14,0,33.4
2013,5,4,14,10,33.4
2013,5,4,14,20,33.4
2013,5,4,14,30,33.4
2013,5,4,14,40,33.3
2013,5,4,14,50,33.3
2013,5,4,15,0,33.3
2013,5,4,15,10,33.3
2013,5,4,15,20,33.3
2013,5,4,15,30,33.3
2013,5,4,15,40,33.3
2013,5,4,15,50,33.3
2013,5,4,16,0,33.3
2013,5,4,16,10,33.3
2013,5,4,16,20,33.3
2013,5,4,16,30,33.3
2013,5,4,16,40,33.3
2013,5,4,16,50,33.3
2013,5,4,17,0,33.2
2013,5,4,17,10,33.2
2013,5,4,17,20,33.1
2013,5,4,17,30,33
2013,5,4,17,40,33
2013,5,4,17,50,33
2013,5,4,18,0,33
2013,5,4,18,10,33
2013,5,4,18,20,33
2013,5,4,18,30,33
2013,5,4,18,40,33.1
2013,5,4,18,50,33
2013,5,4,19,0,33
2013,5,4,19,10,33
2013,5,4,19,20,33
2013,5,4,19,30,33
2013,5,4,19,40,33
2013,5,4,19,50,33
2013,5,4,20,0,33
2013,5,4,20,10,33
2013,5,4,20,20,32.9
2013,5,4,20,30,32.9
2013,5,4,20,40,32.9
2013,5,4,20,50,32.9
2013,5,4,21,0,32.9
2013,5,4,21,10,32.9
2013,5,4,21,20,32.9
2013,5,4,21,30,32.9
2013,5,4,21,40,32.9
2013,5,4,21,50,32.9
2013,5,4,22,0,32.9
2013,5,4,22,10,32.9
2013,5,4,22,20,32.9
2013,5,4,22,30,32.9
2013,5,4,22,40,32.9
2013,5,4,22,50,32.9
2013,5,4,23,0,32.9
2013,5,4,23,10,32.9
2013,5,4,23,20,33
2013,5,4,23,30,33
2013,5,4,23,40,33
2013,5,4,23,50,33
2013,5,5,0,0,33
2013,5,5,0,10,33.1
2013,5,5,0,20,33.1
2013,5,5,0,30,33.1
2013,5,5,0,40,33.1
2013,5,5,0,50,33.1
2013,5,5,1,0,33.2
2013,5,5,1,10,33.2
2013,5,5,1,20,33.2
2013,5,5,1,30,33.2
2013,5,5,1,40,33.2
2013,5,5,1,50,33.2
2013,5,5,2,0,33.3
2013,5,5,2,10,33.3
2013,5,5,2,20,33.3
2013,5,5,2,30,33.3
2013,5,5,2,40,33.3
2013,5,5,2,50,33.3
2013,5,5,3,0,33.3
2013,5,5,3,10,33.3
2013,5,5,3,20,33.3
2013,5,5,3,30,33.3
2013,5,5,3,40,33.3
2013,5,5,3,50,33.3
2013,5,5,4,0,33.3
2013,5,5,4,10,33.2
2013,5,5,4,20,33.3
2013,5,5,4,30,33.3
2013,5,5,4,40,33.3
2013,5,5,4,50,33.3
