YY,MM,DD,hh,WTMP
2013,10,30,0,13.3
2013,10,30,1,13.4
2013,10,30,2,13.4
2013,10,30,3,13.4
2013,10,30,4,13.3
2013,10,30,5,13
2013,10,30,6,12.8
2013,10,30,7,12.6
2013,10,30,8,12.7
2013,10,30,9,12.7
2013,10,30,10,12.5
2013,10,30,11,12.4
2013,10,30,12,12.3
2013,10,30,13,12.2
2013,10,30,14,12.8
2013,10,30,15,12.9
2013,10,30,16,13
2013,10,30,17,13.1
2013,10,30,18,13.2
2013,10,30,19,13.2
2013,10,30,20,13.2
2013,10,30,21,13.2
2013,10,30,22,13.2
2013,10,30,23,13.2
2013,10,31,0,13.2
2013,10,31,1,13.2
2013,10,31,2,13.1
2013,10,31,3,13.1
2013,10,31,4,13.1
2013,10,31,5,13.1
2013,10,31,6,13.1
2013,10,31,7,13.1
2013,10,31,8,13
2013,10,31,9,13
2013,10,31,10,13.1
2013,10,31,11,13.2
2013,10,31,12,13.2
2013,10,31,13,13.2
2013,10,31,14,13.2
2013,10,31,15,13.2
2013,10,31,16,13.2
2013,10,31,17,13.2
2013,10,31,18,13.2
2013,10,31,19,13.2
2013,10,31,20,13.2
2013,10,31,21,13.2
2013,10,31,22,13.2
2013,10,31,23,13.2
2013,11,1,0,13.3
2013,11,1,1,13.4
2013,11,1,2,13.4
2013,11,1,3,13.4
2013,11,1,4,13.4
2013,11,1,5,13.4
2013,11,1,6,13.4
2013,11,1,7,13.4
2013,11,1,8,13.3
2013,11,1,9,13.3
2013,11,1,10,13.2
2013,11,1,11,13.1
2013,11,1,12,13.1
2013,11,1,13,12.9
2013,11,1,14,12.9
2013,11,1,15,12.8
2013,11,1,16,12.9
2013,11,1,17,13
2013,11,1,18,13.1
2013,11,1,19,13.3
2013,11,1,20,13.5
2013,11,1,21,13.7
2013,11,1,22,13.6
2013,11,1,23,13.5
2013,11,2,0,13.4
2013,11,2,1,13.4
2013,11,2,2,13.3
2013,11,2,3,13
2013,11,2,4,12.9
2013,11,2,5,12.9
2013,11,2,6,12.8
2013,11,2,7,12.7
2013,11,2,8,12.6
2013,11,2,9,12.6
2013,11,2,10,12.5
2013,11,2,11,12.4
2013,11,2,12,12.6
2013,11,2,13,12.8
2013,11,2,14,12.9
2013,11,2,15,12.9
2013,11,2,16,12.9
2013,11,2,17,12.9
2013,11,2,18,12.8
2013,11,2,19,12.6
2013,11,2,20,12.6
2013,11,2,21,12.5
2013,11,2,22,12.4
2013,11,2,23,12.4
2013,11,3,1,12.3
2013,11,3,2,12.2
2013,11,3,3,12.2
2013,11,3,4,12.2
2013,11,3,5,12.2
2013,11,3,6,12.2
2013,11,3,7,12.2
2013,11,3,8,12.2
2013,11,3,9,12.2
2013,11,3,10,12.2
2013,11,3,11,12.1
2013,11,3,12,12.1
2013,11,3,13,12.1
2013,11,3,14,12.1
2013,11,3,15,12
2013,11,3,16,12.1
2013,11,3,17,12.2
2013,11,3,18,12.2
2013,11,3,19,12.2
2013,11,3,20,12.2
2013,11,3,21,12.2
2013,11,3,22,12.2
2013,11,3,23,12.2
2013,11,4,0,12.2
2013,11,4,1,12.1
2013,11,4,2,12.1
2013,11,4,3,12
2013,11,4,4,12
2013,11,4,5,12.1
2013,11,4,6,12.1
2013,11,4,7,12.1
2013,11,4,8,12.2
2013,11,4,9,12.2
2013,11,4,10,12.1
2013,11,4,11,12.1
2013,11,4,12,12.1
2013,11,4,13,12.1
2013,11,4,14,12.1
2013,11,4,15,12
2013,11,4,16,12
2013,11,4,17,12.1
2013,11,4,18,12
2013,11,4,19,12
2013,11,4,20,11.9
2013,11,4,21,11.9
2013,11,4,22,12
2013,11,4,23,12.1
2013,11,5,0,12.1
2013,11,5,1,12.1
2013,11,5,2,12
2013,11,5,3,12
2013,11,5,4,12
2013,11,5,5,12
2013,11,5,6,12
2013,11,5,7,12
2013,11,5,8,12
2013,11,5,9,11.9
2013,11,5,10,11.9
2013,11,5,11,11.8
2013,11,5,12,11.8
2013,11,5,13,11.8
2013,11,5,14,11.8
2013,11,5,15,11.8
2013,11,5,16,12
2013,11,5,17,12
2013,11,5,18,12.1
2013,11,5,19,12.1
2013,11,5,20,12.1
2013,11,5,21,12.1
2013,11,5,22,12.2
2013,11,5,23,12.2
2013,11,6,0,12.1
2013,11,6,1,12.1
2013,11,6,2,12.1
2013,11,6,3,12.1
2013,11,6,4,12.1
2013,11,6,5,12.1
2013,11,6,6,12.1
2013,11,6,7,12.1
2013,11,6,8,12.1
2013,11,6,9,12.1
2013,11,6,10,12.1
2013,11,6,11,12.1
2013,11,6,12,12.1
2013,11,6,13,12
2013,11,6,14,12
2013,11,6,15,12
2013,11,6,16,12
2013,11,6,17,11.9
2013,11,6,18,11.9
2013,11,6,19,11.8
2013,11,6,20,11.9
2013,11,6,21,11.9
2013,11,6,22,11.9
2013,11,6,23,12
2013,11,7,0,12.1
2013,11,7,1,12.1
2013,11,7,2,12.1
2013,11,7,3,12.1
2013,11,7,4,12
2013,11,7,5,11.9
2013,11,7,6,11.9
2013,11,7,7,11.9
2013,11,7,8,11.9
2013,11,7,9,11.8
2013,11,7,10,11.6
2013,11,7,11,11.5
2013,11,7,12,11.7
2013,11,7,13,11.9
2013,11,7,14,11.8
2013,11,7,15,11.8
2013,11,7,16,11.9
2013,11,7,17,12
2013,11,7,18,12
2013,11,7,19,12
2013,11,7,20,11.9
2013,11,7,21,11.9
2013,11,7,22,11.9
2013,11,7,23,11.9
2013,11,8,0,11.8
2013,11,8,1,11.8
2013,11,8,2,11.8
2013,11,8,3,11.8
2013,11,8,4,11.8
2013,11,8,5,11.8
2013,11,8,6,11.8
2013,11,8,7,11.7
2013,11,8,8,11.7
2013,11,8,9,11.8
2013,11,8,10,11.8
2013,11,8,11,11.8
2013,11,8,12,11.8
2013,11,8,13,11.8
2013,11,8,14,11.8
2013,11,8,15,11.8
2013,11,8,16,11.8
2013,11,8,17,11.8
2013,11,8,18,11.7
2013,11,8,19,11.5
2013,11,8,20,11.4
2013,11,8,21,11.4
2013,11,8,22,11.6
2013,11,8,23,11.8
2013,11,9,0,11.8
2013,11,9,1,11.8
2013,11,9,2,11.8
2013,11,9,3,11.8
2013,11,9,4,11.8
2013,11,9,5,11.8
2013,11,9,6,11.7
2013,11,9,7,11.7
2013,11,9,8,11.7
2013,11,9,9,11.7
2013,11,9,10,11.6
2013,11,9,11,11.4
2013,11,9,12,11.2
2013,11,9,13,10.9
2013,11,9,14,10.7
2013,11,9,15,10.7
2013,11,9,16,10.9
2013,11,9,17,10.9
2013,11,9,18,10.8
2013,11,9,19,10.8
2013,11,9,20,10.8
2013,11,9,21,10.9
2013,11,9,22,11
2013,11,9,23,11.1
2013,11,10,0,11
2013,11,10,1,11
2013,11,10,2,11
2013,11,10,3,11.1
2013,11,10,4,11.2
2013,11,10,5,11.3
2013,11,10,6,11.3
2013,11,10,7,11.3
2013,11,10,8,11.3
2013,11,10,9,11.3
2013,11,10,10,11.2
2013,11,10,11,11.1
2013,11,10,12,11
2013,11,10,13,11
2013,11,10,14,11
2013,11,10,15,11
2013,11,10,16,11
2013,11,10,17,11.2
2013,11,10,18,11.4
2013,11,10,19,11.5
2013,11,10,20,11.6
2013,11,10,21,11.7
2013,11,10,22,11.7
