YY,MM,DD,hh,WTMP
2013,12,31,23,9.7
2014,01,01,00,9.7
2014,01,01,01,9.7
2014,01,01,02,9.7
2014,01,01,03,9.7
2014,01,01,04,9.7
2014,01,01,05,9.7
2014,01,01,06,9.7
2014,01,01,07,9.6
2014,01,01,08,9.6
2014,01,01,09,9.6
2014,01,01,10,9.6
2014,01,01,11,9.6
2014,01,01,12,9.6
2014,01,01,13,9.6
2014,01,01,14,9.6
2014,01,01,15,9.6
2014,01,01,16,9.4
2014,01,01,17,9.4
2014,01,01,18,9.4
2014,01,01,19,9.5
2014,01,01,20,9.6
2014,01,01,21,9.7
2014,01,01,22,9.7
2014,01,01,23,9.7
2014,01,02,00,9.6
2014,01,02,01,9.5
2014,01,02,02,8.9
2014,01,02,03,9.1
2014,01,02,04,9.2
2014,01,02,05,9.3
2014,01,02,06,9.1
2014,01,02,07,8.9
2014,01,02,08,9.2
2014,01,02,09,8.9
2014,01,02,10,9.2
2014,01,02,11,9.4
2014,01,02,12,9.3
2014,01,02,13,9.5
2014,01,02,14,9.6
2014,01,02,15,9.6
2014,01,02,16,9.5
2014,01,02,17,9.6
2014,01,02,18,9.6
2014,01,02,19,9.7
2014,01,02,20,9.7
2014,01,02,21,9.8
2014,01,02,22,9.7
2014,01,02,23,9.7
2014,01,03,00,9.7
2014,01,03,01,9.6
2014,01,03,02,9.6
2014,01,03,03,9.6
2014,01,03,04,9.6
2014,01,03,05,9.6
2014,01,03,06,9.6
2014,01,03,07,9.6
2014,01,03,08,9.6
2014,01,03,09,9.6
2014,01,03,10,9.6
2014,01,03,11,9.5
2014,01,03,12,9.5
2014,01,03,13,9.5
2014,01,03,14,9.5
2014,01,03,15,9.5
2014,01,03,16,9.5
2014,01,03,17,9.5
2014,01,03,18,9.5
2014,01,03,19,9.5
2014,01,03,20,9.5
2014,01,03,21,9.5
2014,01,03,22,9.5
2014,01,03,23,9.5
2014,01,04,00,9.4
2014,01,04,01,9.5
2014,01,04,02,9.4
2014,01,04,03,9.3
2014,01,04,04,9.3
2014,01,04,05,9.2
2014,01,04,06,9.2
2014,01,04,07,9.1
2014,01,04,08,9.1
2014,01,04,09,9.1
2014,01,04,10,9.0
2014,01,04,11,9.0
2014,01,04,12,9.0
2014,01,04,13,8.9
2014,01,04,14,8.8
2014,01,04,15,8.8
2014,01,04,16,8.8
2014,01,04,17,8.8
2014,01,04,18,8.7
2014,01,04,19,8.7
2014,01,04,20,8.7
2014,01,04,21,8.6
2014,01,04,22,8.7
2014,01,04,23,8.7
2014,01,05,00,8.8
2014,01,05,01,8.8
2014,01,05,02,8.8
2014,01,05,03,8.9
2014,01,05,04,8.9
2014,01,05,05,8.9
2014,01,05,06,8.9
2014,01,05,07,8.8
2014,01,05,08,8.8
2014,01,05,09,8.8
2014,01,05,10,8.6
2014,01,05,11,8.5
2014,01,05,12,8.5
2014,01,05,13,8.4
2014,01,05,14,8.4
2014,01,05,15,8.5
2014,01,05,16,8.5
2014,01,05,17,8.5
2014,01,05,18,8.6
2014,01,05,19,8.6
2014,01,05,20,8.6
2014,01,05,21,8.6
2014,01,05,22,8.6
2014,01,05,23,8.6
2014,01,06,00,8.6
2014,01,06,01,8.6
2014,01,06,02,8.6
2014,01,06,03,8.5
2014,01,06,04,8.5
2014,01,06,05,8.5
2014,01,06,06,8.4
2014,01,06,07,8.4
2014,01,06,08,8.5
2014,01,06,09,8.5
2014,01,06,10,8.5
2014,01,06,11,8.5
2014,01,06,12,8.5
2014,01,06,13,8.5
2014,01,06,14,8.5
2014,01,06,15,8.4
2014,01,06,16,8.5
2014,01,06,17,8.5
2014,01,06,18,8.5
2014,01,06,19,8.5
2014,01,06,20,8.5
2014,01,06,21,8.5
2014,01,06,22,8.5
2014,01,06,23,8.5
2014,01,07,00,8.6
2014,01,07,01,8.6
2014,01,07,02,8.6
2014,01,07,03,8.6
2014,01,07,04,8.6
2014,01,07,05,8.6
2014,01,07,06,8.5
2014,01,07,07,8.5
2014,01,07,08,8.5
2014,01,07,09,8.5
2014,01,07,10,8.5
2014,01,07,11,8.4
2014,01,07,12,8.5
2014,01,07,13,8.4
2014,01,07,14,8.5
2014,01,07,15,8.4
2014,01,07,16,8.5
2014,01,07,18,8.5
2014,01,07,19,8.5
2014,01,07,20,8.5
2014,01,07,21,8.5
2014,01,07,22,8.6
2014,01,07,23,8.6
2014,01,08,00,8.7
2014,01,08,01,8.7
2014,01,08,02,8.7
2014,01,08,03,8.7
2014,01,08,04,8.7
2014,01,08,05,8.7
2014,01,08,06,8.7
2014,01,08,07,8.7
2014,01,08,08,8.8
2014,01,08,09,8.8
2014,01,08,10,8.9
2014,01,08,11,8.8
2014,01,08,12,8.9
2014,01,08,13,8.9
2014,01,08,14,8.9
2014,01,08,15,8.9
2014,01,08,16,8.9
2014,01,08,17,8.7
2014,01,08,18,8.8
2014,01,08,19,9.0
2014,01,08,20,9.0
2014,01,08,21,8.9
2014,01,08,22,8.9
2014,01,08,23,9.0
2014,01,09,00,9.1
2014,01,09,01,9.1
2014,01,09,02,9.2
2014,01,09,03,9.2
2014,01,09,04,9.2
2014,01,09,05,9.1
2014,01,09,06,9.0
2014,01,09,07,8.9
2014,01,09,08,8.8
2014,01,09,09,8.8
2014,01,09,10,8.8
2014,01,09,11,8.9
2014,01,09,12,8.9
2014,01,09,13,9.0
2014,01,09,14,9.1
2014,01,09,15,9.1
2014,01,09,16,9.1
2014,01,09,17,9.1
2014,01,09,18,9.1
2014,01,09,19,9.1
2014,01,09,20,9.1
2014,01,09,21,9.0
2014,01,09,22,9.1
2014,01,09,23,9.1
2014,01,10,00,9.1
2014,01,10,01,9.1
2014,01,10,02,9.1
2014,01,10,03,9.2
2014,01,10,04,9.2
2014,01,10,05,9.2
2014,01,10,06,9.2
2014,01,10,07,9.2
2014,01,10,08,9.2
2014,01,10,09,9.2
2014,01,10,10,9.2
2014,01,10,11,9.3
2014,01,10,12,9.3
2014,01,10,13,9.3
2014,01,10,14,9.3
2014,01,10,15,9.3
2014,01,10,16,9.3
2014,01,10,17,9.3
2014,01,10,18,9.3
2014,01,10,19,9.3
2014,01,10,20,9.3
2014,01,10,21,9.3
2014,01,10,22,9.3
2014,01,10,23,9.3
2014,01,11,00,9.3
2014,01,11,01,9.3
2014,01,11,02,9.3
2014,01,11,03,9.2
2014,01,11,04,9.2
2014,01,11,05,9.2
2014,01,11,06,9.2
2014,01,11,07,9.2
2014,01,11,08,9.2
2014,01,11,09,9.2
2014,01,11,10,9.1
2014,01,11,11,9.2
2014,01,11,12,9.2
2014,01,11,13,9.2
2014,01,11,14,9.2
2014,01,11,15,9.2
2014,01,11,16,9.1
2014,01,11,17,9.1
2014,01,11,18,9.0
2014,01,11,19,9.0
2014,01,11,20,9.0
2014,01,11,21,8.9
2014,01,11,22,8.9
2014,01,11,23,8.9
2014,01,12,00,8.8
2014,01,12,01,8.8
2014,01,12,02,8.8
2014,01,12,03,8.9
2014,01,12,04,8.9
2014,01,12,05,8.9
2014,01,12,06,8.9
2014,01,12,07,8.9
2014,01,12,08,8.9
2014,01,12,09,8.9
2014,01,12,10,8.9
2014,01,12,11,8.9
2014,01,12,12,8.8
2014,01,12,13,8.7
2014,01,12,14,8.7
2014,01,12,15,8.7
2014,01,12,16,8.7
2014,01,12,17,8.7
2014,01,12,18,8.8
2014,01,12,19,8.8
2014,01,12,20,8.8
2014,01,12,21,8.8
2014,01,12,22,8.9
2014,01,12,23,8.9
2014,01,13,00,8.9
2014,01,13,01,9.0
2014,01,13,02,9.0
2014,01,13,03,9.0
2014,01,13,04,9.0
2014,01,13,05,9.0
2014,01,13,06,8.9
2014,01,13,07,8.7
2014,01,13,08,8.7
2014,01,13,09,8.7
2014,01,13,10,8.7
2014,01,13,11,8.7
2014,01,13,12,8.7
2014,01,13,13,8.8
2014,01,13,14,8.9
2014,01,13,15,8.9
2014,01,13,16,8.9
2014,01,13,17,9.0
2014,01,13,18,9.0
2014,01,13,19,9.0
2014,01,13,20,8.9
2014,01,13,21,8.9
2014,01,13,22,8.8
2014,01,13,23,8.8
2014,01,14,00,8.7
2014,01,14,01,8.6
2014,01,14,02,8.6
2014,01,14,03,8.6
2014,01,14,04,8.7
2014,01,14,05,8.8
2014,01,14,06,8.8
2014,01,14,07,8.8
2014,01,14,08,8.8
2014,01,14,09,8.8
2014,01,14,10,8.7
2014,01,14,11,8.7
2014,01,14,12,8.6
2014,01,14,13,8.6
2014,01,14,14,8.6
2014,01,14,15,8.6
2014,01,14,16,8.6
2014,01,14,17,8.6
2014,01,14,18,8.7
2014,01,14,19,8.7
2014,01,14,20,8.8
2014,01,14,21,8.8
2014,01,14,22,8.9
2014,01,14,23,8.8
2014,01,15,00,8.8
2014,01,15,01,8.7
2014,01,15,02,8.8
2014,01,15,03,8.8
2014,01,15,04,8.7
2014,01,15,05,8.7
2014,01,15,06,8.7
2014,01,15,07,8.7
2014,01,15,08,8.6
