date_only,fRate
2012-12-01,155.459232
2012-12-02,231.348256
2012-12-03,227.667072
2012-12-04,285.99968
2012-12-05,258.532384
2012-12-06,175.847328
2012-12-07,132.805792
2012-12-08,110.152352
2012-12-09,92.595936
2012-12-10,79.003872
2012-12-11,71.358336
2012-12-12,74.473184
2012-12-13,70.225664
2012-12-14,65.411808
2012-12-15,63.146464
2012-12-16,91.746432
2012-12-17,206.146304
2012-12-18,169.051296
2012-12-19,138.75232
2012-12-20,288.83136
2012-12-21,249.18784
2012-12-22,206.146304
2012-12-23,197.651264
2012-12-24,182.926528
2012-12-25,162.255264
2012-12-26,171.31664
2012-12-27,160.556256
2012-12-28,133.938464
2012-12-29,110.152352
2012-12-30,92.595936
2012-12-31,79.28704
2013-01-01,68.526656
2013-01-02,60.031616
2013-01-03,53.518752
2013-01-04,49.271232
2013-01-05,45.30688
2013-01-06,41.908864
2013-01-07,43.324704
2013-01-08,48.13856
2013-01-09,59.46528
2013-01-10,71.075168
2013-01-11,73.057344
2013-01-12,64.562304
2013-01-13,55.784096
2013-01-14,48.988064
2013-01-15,44.457376
2013-01-16,40.776192
2013-01-17,37.944511999999996
2013-01-18,35.962336
2013-01-19,33.696992
2013-01-20,31.431648
2013-01-21,29.449472
2013-01-22,27.7787808
2013-01-23,27.4389792
2013-01-24,27.3540288
2013-01-25,27.0991776
2013-01-26,31.714816
2013-01-27,39.64352
2013-01-28,58.615776
2013-01-29,70.225664
2013-01-30,69.092992
2013-01-31,62.013792
2013-02-01,54.934592
2013-02-02,48.704896
2013-02-03,43.89104
2013-02-04,40.209856
2013-02-05,38.794016
2013-02-06,41.908864
2013-02-07,48.13856
2013-02-08,47.572224
2013-02-09,43.607872
2013-02-10,40.493024
2013-02-11,37.661344
2013-02-12,35.679168
2013-02-13,33.413824
2013-02-14,31.431648
2013-02-15,29.73264
2013-02-16,28.599968
2013-02-17,27.4956128
2013-02-18,26.2213568
2013-02-19,27.4389792
2013-02-20,25.909872
2013-02-21,27.0708608
2013-02-22,34.546496
2013-02-23,64.562304
2013-02-24,56.6336
2013-02-25,55.784096
2013-02-26,54.934592
2013-02-27,50.120736
2013-02-28,49.5544
2013-03-01,50.687072
2013-03-02,47.855392
2013-03-03,44.457376
2013-03-04,40.776192
2013-03-05,39.64352
2013-03-06,45.30688
2013-03-07,51.819744
2013-03-08,48.421728
2013-03-09,43.607872
2013-03-10,39.360352
2013-03-11,36.245504
2013-03-12,33.98016
2013-03-13,31.714816
2013-03-14,29.73264
2013-03-15,28.033632
2013-03-16,27.4389792
2013-03-17,29.449472
2013-03-18,26.334623999999998
2013-03-19,25.1736352
2013-03-20,55.500928
2013-03-21,70.225664
2013-03-22,58.615776
2013-03-23,51.819744
2013-03-24,46.439552
2013-03-25,41.908864
2013-03-26,38.510848
2013-03-27,35.962336
2013-03-28,33.413824
2013-03-29,31.431648
2013-03-30,29.166304
2013-03-31,27.3540288
2013-04-01,25.8815552
2013-04-02,24.5789824
2013-04-03,23.36136
2013-04-04,24.0126464
2013-04-05,28.599968
2013-04-06,58.04944
2013-04-07,106.754336
2013-04-08,110.718688
2013-04-09,81.269216
2013-04-10,65.978144
2013-04-11,56.067264
2013-04-12,48.988064
2013-04-13,45.023711999999996
2013-04-14,42.192032
2013-04-15,40.209856
2013-04-16,37.661344
2013-04-17,35.962336
2013-04-18,33.413824
2013-04-19,33.696992
2013-04-20,32.56432
2013-04-21,30.865312
2013-04-22,29.166304
2013-04-23,27.184128
2013-04-24,25.5983872
2013-04-25,24.1259136
2013-04-26,22.8233408
2013-04-27,21.577401599999998
2013-04-28,20.6146304
2013-04-29,20.2181952
2013-04-30,19.2837408
2013-05-01,18.3209696
2013-05-02,17.556416
2013-05-03,16.848496
2013-05-04,16.1688928
2013-05-05,15.4609728
2013-05-06,14.8096864
2013-05-07,14.441568
2013-05-08,13.9318656
2013-05-09,13.5637472
2013-05-10,13.0823616
2013-05-11,12.6859264
2013-05-12,12.3461248
2013-05-13,12.1195904
2013-05-14,12.0063232
2013-05-15,11.609888
2013-05-16,11.9213728
2013-05-17,11.8364224
2013-05-18,11.4116704
2013-05-19,11.3833536
2013-05-20,10.6471168
2013-05-21,12.7991936
2013-05-22,24.1825472
2013-05-23,23.8427456
2013-05-24,23.1348256
2013-05-25,21.4358176
