Tm (UTC),U (m s-1),Tair (degC),RH (%),P (mb),SW_dn (W m-2),LW_dn (W m-2),Lat,Lon
12/12/2012 01:00,7.750499473,10.54334591,83.17368609,1003.614621,0,312.2070221,44.420452,-124.104527
12/12/2012 02:00,7.6655582,10.49157582,76.75384789,1003.705106,0,348.2897654,44.420452,-124.104527
12/12/2012 03:00,7.104345396,10.14634009,76.95252487,1003.285933,0,346.3021544,44.420452,-124.104527
12/12/2012 04:00,7.406885988,9.785336248,80.79486452,1003.653419,0,334.4012244,44.420452,-124.104527
12/12/2012 05:00,7.268521742,8.613019802,90.17055768,1003.497466,0,324.6486716,44.420452,-124.104527
12/12/2012 06:00,6.002877751,9.110980841,85.33330989,1003.92389,0,335.2793729,44.420452,-124.104527
12/12/2012 07:00,5.363718179,8.958763612,86.81422616,1004.462496,0,326.8665968,44.420452,-124.104527
12/12/2012 08:00,4.886019199,8.959982152,87.86525728,1004.23512,0,334.2178958,44.420452,-124.104527
12/12/2012 09:00,4.275782842,8.863356325,85.36175146,1004.45966,0,326.2673533,44.420452,-124.104527
12/12/2012 10:00,2.016202814,8.257676586,87.4596003,1004.783865,0,321.0485554,44.420452,-124.104527
12/12/2012 11:00,6.030464538,9.323795485,77.16830489,1005.025087,0,319.3403448,44.420452,-124.104527
12/12/2012 12:00,7.206596815,9.456832574,76.51399279,1005.533228,0,286.678832,44.420452,-124.104527
12/12/2012 13:00,6.540767214,9.485362601,75.6286802,1005.840119,0,316.571685,44.420452,-124.104527
12/12/2012 14:00,4.129190425,9.088593184,76.50719231,1006.193817,0,298.0558003,44.420452,-124.104527
12/12/2012 15:00,2.486769603,9.031882887,76.3237742,1006.565036,0,290.3678862,44.420452,-124.104527
12/12/2012 16:00,0.928244692,8.494056049,82.3582706,1007.010131,0,297.2455702,44.420452,-124.104527
12/12/2012 17:00,1.952919785,7.960306602,86.70982077,1007.558249,13.08057512,312.758693,44.420452,-124.104527
12/12/2012 18:00,2.783798021,7.954538203,87.81698826,1007.999964,84.38720343,307.5911058,44.420452,-124.104527
12/12/2012 19:00,2.755163645,8.245951167,87.24705553,1008.574816,127.1450645,315.3609737,44.420452,-124.104527
12/12/2012 20:00,3.191040193,8.362203156,88.36397162,1009.104201,104.4453107,332.3306385,44.420452,-124.104527
12/12/2012 21:00,3.237876293,8.49867152,89.16534949,1008.946008,197.0050729,324.2666048,44.420452,-124.104527
12/12/2012 22:00,3.043448793,8.753170898,88.61076929,1009.282421,294.4556519,263.3605721,44.420452,-124.104527
12/12/2012 23:00,2.56508175,8.985281514,87.02495886,1009.48101,194.9130099,262.6716565,44.420452,-124.104527
