# usr,tau,hsb,hlb,hbb,hsbb,hlwebb,tsr,qsr,zo,zot,zoq,Cd,Ch,Ce,L,zeta,dT_skinx,dq_skinx,dz_skin,Urf,Trf,Qrf,RHrf,UrfN,TrfN,QrfN,lw_net,sw_net,Le,rhoa,UN,U10,U10N,Cdn_10,Chn_10,Cen_10,hrain,Qs,Evap,T10,T10N,Q10,Q10N,RH10,P10,rhoa10,gust,wc_frac,Edis
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.320056065645407628e+01,nan,1.240990806399589808e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.956701813384220259e+02,nan,2.000000000000000111e-01,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.883346637893161812e+01,nan,1.237172480709476163e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.961289431323870076e+02,nan,2.000000000000000111e-01,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.576960781579138029e+02,nan,1.231746597728531123e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.966442206181840220e+02,nan,2.000000000000000111e-01,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.351183959448313772e+02,nan,1.232028908782146992e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.972160335035490561e+02,nan,2.000000000000000111e-01,nan,nan
4.551169987389720728e-02,2.533113803164594325e-03,-1.505049977213015922e+00,4.901914312644758631e+00,-1.169093072466603322e+00,-1.224167974884047938e+00,-3.122368834546368488e-02,2.679140059756441108e-02,-3.532670647572732514e-05,3.336395010837172389e-05,1.600000000000000131e-04,1.600000000000000131e-04,4.748485185174560136e-04,8.085277188493096871e-04,8.085256788112422845e-04,7.187470961637625777e+00,1.391309968885294124e+00,1.188129585675228722e-01,5.507415633620064976e-02,3.335031425836506268e-03,2.078954998526279851e+00,9.108549289118384351e+00,5.271474691788163192e+00,7.254442714500510192e+01,1.428233017718487430e+00,8.711973134084011861e+00,5.794393580375325037e+00,-3.649836667098362852e+01,2.253014022422086953e+02,2.481592662499999627e+06,1.228595760311717244e+00,1.428233017718487430e+00,2.078954998526279851e+00,1.428233017718487430e+00,1.006113848813997491e-03,1.148945839047127524e-03,1.148945839047127524e-03,0.000000000000000000e+00,6.769669351040024097e+00,7.111115289865238033e-03,9.108549289118384351e+00,8.711973134084011861e+00,5.271474691788163192e+00,5.794393580375325037e+00,7.254442714500510192e+01,9.969890620207060010e+02,1.226310461949832398e+00,2.000000000000000111e-01,1.000000000000000082e-05,3.452850700308058868e-04
3.945457076326553542e-02,1.904175068863273946e-03,-1.904645787081099551e+00,2.640481280031147460e+00,-1.727607268892850767e+00,-1.756629976792563719e+00,-7.410964430571578831e-02,3.912277152925788815e-02,-2.195643733868535817e-05,3.869371777276376187e-05,1.600000000000000131e-04,1.600000000000000131e-04,3.126583657552512818e-04,5.723831072890228112e-04,5.723830799555261256e-04,3.167729992021105723e+00,3.156834712929463826e+00,3.609377395717345838e-01,1.665348964127868203e-01,3.125392820337309641e-03,2.222340879596650165e+00,9.867626429047907877e+00,5.383231585079151671e+00,7.041675505330276508e+01,1.224300531696518535e+00,8.739035582730801721e+00,6.016618056169111384e+00,-8.911967804085276157e+01,2.613429218212037313e+02,2.481761524999999907e+06,1.228185172216975651e+00,1.224300531696518535e+00,2.222340879596650165e+00,1.224300531696518535e+00,1.030185250269607207e-03,1.162608936726655098e-03,1.162608936726655098e-03,0.000000000000000000e+00,6.622776124088681549e+00,3.830236109455412499e-03,9.867626429047907877e+00,8.739035582730801721e+00,5.383231585079151671e+00,6.016618056169111384e+00,7.041675505330276508e+01,9.973452569552209752e+02,1.223375327524099943e+00,2.000000000000000111e-01,nan,2.223668987183336854e-04
4.109070556392929729e-02,2.067722452934781397e-03,-1.844662142722961917e+00,2.342764022269111290e+00,-1.688377035815486371e+00,-1.713997545144580803e+00,-7.457038219098498233e-02,3.634173839219362323e-02,-1.868222554833600819e-05,3.704867538574167882e-05,1.600000000000000131e-04,1.600000000000000131e-04,3.367045915538086033e-04,6.122447523363405393e-04,6.122460891932031629e-04,3.662248370228188943e+00,2.730563028246201451e+00,3.780684175421420989e-01,1.731016636395810160e-01,3.061391233724375469e-03,2.230385953006260191e+00,9.455165533674774636e+00,5.560458795810629518e+00,7.478484360322214286e+01,1.279552818677104131e+00,8.519296032131912000e+00,6.041561953918999528e+00,-8.634253418425180371e+01,1.642476005144018814e+02,2.482059750000000000e+06,1.229544083948805433e+00,1.279552818677104131e+00,2.230385953006260191e+00,1.279552818677104131e+00,1.023040072997272957e-03,1.158570099459371771e-03,1.158570099459371771e-03,0.000000000000000000e+00,6.557327269090042599e+00,3.397964323851913881e-03,9.455165533674774636e+00,8.519296032131912000e+00,5.560458795810629518e+00,6.041561953918999528e+00,7.478484360322214286e+01,9.975524926178760552e+02,1.225283317544459960e+00,2.000000000000000111e-01,nan,2.523557035259085422e-04
5.129660449604894062e-02,3.227963815977375871e-03,-6.068588556534674217e-01,2.998642237190459081e+00,-4.010551561941347321e-01,-4.347934675809104754e-01,-3.385907747566876090e-03,9.542281228935241971e-03,-1.908414595233573992e-05,2.931354414378586567e-05,1.600000000000000131e-04,1.600000000000000131e-04,7.745792487803253995e-04,1.139730339103094169e-03,1.139726398593973776e-03,3.006553138160585803e+01,3.326067939087887226e-01,2.632629255130984891e-01,1.199541778749641935e-01,2.847864050575848061e-03,1.832245573350550050e+00,7.865706953841010041e+00,5.971196914735428685e+00,8.948209357284643772e+01,1.624155526805428407e+00,7.827572166699924061e+00,6.047464824494251268e+00,-5.569331537688174905e+01,3.549288021671583238e+01,2.482217750000000000e+06,1.234023497031068617e+00,1.624155526805428407e+00,1.832245573350550050e+00,1.624155526805428407e+00,9.857754349468872499e-04,1.137273681569017647e-03,1.137273681569017647e-03,0.000000000000000000e+00,6.574326953594262335e+00,4.348978671949973833e-03,7.865706953841010041e+00,7.827572166699924061e+00,5.971196914735428685e+00,6.047464824494251268e+00,8.948209357284643772e+01,9.983844609134760049e+02,1.232933230763380461e+00,2.000000000000000111e-01,1.000000000000000082e-05,5.010163352368291433e-04
6.358643572705743874e-02,4.741837867606272031e-03,6.529713115173236382e+00,8.777818567909438485e+00,7.156727659289749077e+00,7.053938389762452132e+00,4.028862212756368910e-01,-8.211778910886355365e-02,-4.467933898190548327e-05,2.312475899679858858e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.288655211580207877e-03,1.813979886489917133e-03,1.813979887876353021e-03,-3.205670704391945680e+00,-3.119471998886051534e+00,4.099020409554628430e-01,1.863852242703673834e-01,2.339432878313853301e-03,1.668956106201469947e+00,5.698365795880119045e+00,5.566527325261181325e+00,9.694363296127653484e+01,1.943721391944404520e+00,5.134612886011852950e+00,5.259795889412999692e+00,-8.982103470543660251e+01,0.000000000000000000e+00,2.482255274999999907e+06,1.244712172694891539e+00,1.943721391944404520e+00,1.668956106201469725e+00,1.943721391944404298e+00,9.500764134506721383e-04,1.116491089525244477e-03,1.116491089525244477e-03,0.000000000000000000e+00,6.493272012973449137e+00,1.273041784329534062e-02,5.698365795880119045e+00,5.134612886011852950e+00,5.566527325261181325e+00,5.259795889412999692e+00,9.694363296127653484e+01,9.994896247108999887e+02,1.244197245375056937e+00,5.934196521268600977e-01,1.000000000000000082e-05,9.292991071809704462e-04
9.195999681551132732e-02,1.016787521022507156e-02,1.184129395988477995e+01,1.556088707690588713e+01,1.295047923751603136e+01,1.276864558544533423e+01,6.998791170291600583e-01,-1.027634753682351160e-01,-5.465778152102065718e-05,1.644268620180423020e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.142998659102393210e-03,1.636745749067536945e-03,1.636745749212864054e-03,-5.360284538413112365e+00,-1.865572606890091301e+00,3.524868897754754316e-01,1.602545562122686118e-01,1.758351216378375081e-03,2.622227707003080166e+00,5.226510937728081174e+00,5.329766705287015682e+00,9.595460859681466559e+01,2.951748075640048707e+00,4.624556294436872328e+00,5.009599396224355239e+00,-9.287648223959135407e+01,0.000000000000000000e+00,2.482249350000000093e+06,1.247205443163761807e+00,2.951748075640048707e+00,2.622227707003079722e+00,2.951748075640048263e+00,9.020444677713441864e-04,1.087902480174828251e-03,1.087902480174828251e-03,0.000000000000000000e+00,6.518553419441246000e+00,2.256791545815539646e-02,5.226510937728081174e+00,4.624556294436872328e+00,5.329766705287015682e+00,5.009599396224355239e+00,9.595460859681466559e+01,9.997875719085999435e+02,1.246857103470468520e+00,7.228876747291396176e-01,6.801572483966049614e-04,2.957595567900666959e-03
