DN,MeasuredAirTemp,U,atm Pressure
2013-02-27 23:30:00,9.87423,1.513291,1023.557
2013-02-27 23:40:00,10.1625,1.326918,1025.27
2013-02-27 23:49:59,10.05529,1.456443,1025.252
2013-02-28 00:00:00,10.14659,1.917698,1025.222
2013-02-28 00:10:00,10.22483,0.8609304,1025.244
2013-02-28 00:20:00,10.31029,1.607199,1025.273
2013-02-28 00:30:00,10.16839,1.280697,1025.275
2013-02-28 00:40:00,9.975751,2.154039,1025.187
2013-02-28 00:50:00,9.815137,1.968656,1025.041
2013-02-28 01:00:00,9.854265,1.72774,1025.058
2013-02-28 01:10:00,9.896881,2.005407,1025.06
2013-02-28 01:19:59,9.729562,0.9584401,1024.946
2013-02-28 01:30:00,9.498777,0.7106642,1024.821
2013-02-28 01:40:00,9.374185,0.7046209,1024.781
2013-02-28 01:50:00,9.283006,1.040759,1024.773
2013-02-28 02:00:00,9.129298,1.641335,1024.701
2013-02-28 02:10:00,9.067846,1.306175,1024.613
2013-02-28 02:20:00,9.172888,2.259555,1024.502
2013-02-28 02:30:00,9.125285,2.35053,1024.427
2013-02-28 02:40:00,9.074224,2.5529,1024.299
2013-02-28 02:49:59,9.088291,2.578053,1024.11
2013-02-28 03:00:00,9.118722,2.510432,1023.992
2013-02-28 03:10:00,9.157704,2.278664,1023.837
2013-02-28 03:20:00,9.156036,2.228845,1023.961
2013-02-28 03:30:00,9.040092,1.916553,1024.205
2013-02-28 03:40:00,9.067436,2.269682,1024.242
2013-02-28 03:50:00,9.158882,2.956823,1023.706
2013-02-28 04:00:00,9.37885,2.928895,1023.77
2013-02-28 04:10:00,9.468512,2.894918,1023.824
2013-02-28 04:19:59,9.4512,2.867806,1023.816
2013-02-28 04:30:00,9.201234,2.040525,1023.854
2013-02-28 04:40:00,8.857007,1.903322,1023.927
2013-02-28 04:50:00,8.935774,2.43824,1023.928
2013-02-28 05:00:00,9.104708,2.977239,1023.971
2013-02-28 05:10:00,9.125154,3.046818,1023.956
2013-02-28 05:20:00,9.023095,2.110596,1023.971
2013-02-28 05:30:00,9.051908,2.279155,1023.957
2013-02-28 05:40:00,9.040962,2.49459,1023.765
2013-02-28 05:49:59,8.956507,2.291567,1023.713
2013-02-28 06:00:00,8.968439,2.360657,1023.682
2013-02-28 06:10:00,9.189786,2.642896,1023.64
2013-02-28 06:20:00,9.298295,2.194875,1023.597
2013-02-28 06:30:00,9.306108,1.884377,1023.581
2013-02-28 06:40:00,9.353751,1.395684,1023.593
2013-02-28 06:50:00,9.572005,1.208503,1023.569
2013-02-28 07:00:00,10.467,2.348407,1023.556
2013-02-28 07:10:00,10.73446,2.595039,1023.651
2013-02-28 07:19:59,10.71549,3.422976,1023.482
2013-02-28 07:30:00,10.67786,3.250496,1023.264
2013-02-28 07:40:00,10.73643,3.843721,1023.163
2013-02-28 07:50:00,10.73053,3.744418,1023.301
2013-02-28 08:00:00,10.71384,5.510375,1023.274
2013-02-28 08:10:00,10.64104,4.998328,1023.457
2013-02-28 08:20:00,10.62472,4.833852,1023.443
2013-02-28 08:30:00,10.52718,4.880403,1023.378
